protected,f0,accuracy
0.0,0.0,0.6522
0.0,0.0,0.6495
0.0,0.0,0.6519
0.0,0.0,0.6416
0.0,0.0,0.6527
0.0,0.0,0.6461
0.0,0.0,0.6482
0.0,0.0,0.655
0.0,0.0,0.6459
0.0,0.0,0.6438
0.0,0.0,0.6487
0.0,0.0,0.6542
0.0,0.0,0.6567
0.0,0.0,0.6477
0.0,0.0,0.646
0.0,0.0,0.6487
0.0,0.0,0.6515
0.0,0.0,0.6454
0.0,0.0,0.6461
0.0,0.0,0.6522
0.0,0.0,0.6403
0.0,0.0,0.6521
0.0,0.0,0.6432
0.0,0.0,0.6494
0.0,0.0,0.646
0.0,0.0,0.6513
0.0,0.0,0.6535
0.0,0.0,0.6585
0.0,0.0,0.6513
0.0,0.0,0.6463
0.0,0.0,0.6501
0.0,0.0,0.6514
0.0,0.0,0.6443
0.0,0.0,0.6497
0.0,0.0,0.6546
0.0,0.0,0.6509
0.0,0.0,0.6541
0.0,0.0,0.6517
0.0,0.0,0.6499
0.0,0.0,0.6499
0.0,0.0,0.6575
0.0,0.0,0.643
0.0,0.0,0.6532
0.0,0.0,0.6604
0.0,0.0,0.6434
0.0,0.0,0.6506
0.0,0.0,0.6471
0.0,0.0,0.6511
0.0,0.0,0.6521
0.0,0.0,0.6472
0.0,0.0,0.6471
0.0,0.0,0.6473
0.0,0.0,0.6558
0.0,0.0,0.651
0.0,0.0,0.6522
0.0,0.0,0.6562
0.0,0.0,0.6515
0.0,0.0,0.6477
0.0,0.0,0.6517
0.0,0.0,0.6477
0.0,0.0,0.6418
0.0,0.0,0.6546
0.0,0.0,0.6462
0.0,0.0,0.6549
0.0,0.0,0.6574
0.0,0.0,0.6461
0.0,0.0,0.6514
0.0,0.0,0.6456
0.0,0.0,0.6492
0.0,0.0,0.6498
0.0,0.0,0.6551
0.0,0.0,0.6522
0.0,0.0,0.651
0.0,0.0,0.6499
0.0,0.0,0.653
0.0,0.0,0.6451
0.0,0.0,0.6488
0.0,0.0,0.6501
0.0,0.0,0.6532
0.0,0.0,0.659
0.0,0.0,0.6494
0.0,0.0,0.6572
0.0,0.0,0.6467
0.0,0.0,0.6478
0.0,0.0,0.6551
0.0,0.0,0.6536
0.0,0.0,0.6508
0.0,0.0,0.6514
0.0,0.0,0.6499
0.0,0.0,0.6498
0.0,0.0,0.6478
0.0,0.0,0.647
0.0,0.0,0.652
0.0,0.0,0.6526
0.0,0.0,0.645
0.0,0.0,0.6539
0.0,0.0,0.6481
0.0,0.0,0.6449
0.0,0.0,0.6506
0.0,0.0,0.6492
