protected,f0,accuracy
-0.2545,0.0,0.4937
-0.2512,0.0,0.4966
0.0,0.0,0.5073
0.0,0.0,0.5009
-0.253,0.0,0.4982
0.0,-0.4963,0.5004
0.0,0.5053,0.5064
0.0,0.0,0.5089
-0.2464,0.0,0.5041
0.2488,0.2488,0.5024
-0.5109,0.0,0.4998
0.2576,-0.4988,0.4955
0.0,0.0,0.5036
0.2435,0.2516,0.5004
0.0,-0.2508,0.4985
0.0,0.0,0.5035
-0.4999,0.248,0.4987
0.2541,0.4994,0.4994
0.0,-0.5098,0.4949
0.2496,0.2558,0.4917
0.0,0.0,0.5091
-0.2413,-0.4907,0.4987
0.0,0.0,0.5063
0.4934,0.2491,0.4959
0.501,0.0,0.4979
-0.2561,0.2456,0.5063
-0.246,0.0,0.4892
0.5016,0.0,0.4978
0.0,-0.2444,0.5046
0.0,0.4972,0.4972
0.2529,0.0,0.5081
0.2543,0.497,0.4987
0.0,0.0,0.5
-0.4956,0.0,0.5048
0.0,-0.5088,0.4948
0.504,0.2477,0.5052
0.0,0.0,0.4951
0.5018,0.0,0.5042
0.0,0.0,0.4958
0.2502,0.2521,0.497
-0.2464,0.0,0.492
0.0,-0.2369,0.502
0.0,0.0,0.497
0.254,0.2475,0.4929
0.0,0.0,0.5036
0.0,0.2415,0.4921
0.0,0.0,0.5049
0.0,-0.5027,0.4944
-0.4975,-0.2515,0.4991
0.0,0.0,0.5031
-0.2562,-0.2562,0.5007
0.0,-0.4964,0.4956
0.0,0.4942,0.4988
-0.5068,0.2535,0.4998
-0.2479,-0.2479,0.506
0.2415,0.2506,0.5079
-0.2497,0.0,0.502
0.0,0.0,0.4979
0.0,-0.4997,0.4993
-0.4977,0.0,0.4983
0.5035,0.2479,0.5004
-0.2586,-0.2586,0.4994
-0.4974,0.2483,0.5045
0.4963,0.4998,0.4923
-0.2427,-0.247,0.5034
-0.4955,0.0,0.4986
0.0,0.0,0.5005
-0.5022,-0.2473,0.5028
0.2438,-0.4986,0.5025
0.4992,0.251,0.4966
0.0,0.0,0.4952
0.0,-0.4986,0.5092
0.0,0.0,0.4918
0.0,0.2504,0.5077
0.0,-0.2466,0.498
0.4984,0.0,0.5036
0.0,0.2545,0.507
-0.4908,0.0,0.5019
-0.2476,0.0,0.5053
0.2508,0.2496,0.4976
-0.2406,-0.2406,0.4979
0.2468,0.503,0.5085
0.0,-0.2522,0.5021
0.0,0.0,0.4993
0.0,0.0,0.503
0.0,0.0,0.4921
0.2426,0.2519,0.4963
0.0,0.2538,0.4979
-0.2528,-0.2528,0.4935
0.0,0.0,0.5072
-0.25,0.0,0.4974
-0.2424,0.4973,0.4975
-0.5021,-0.2484,0.4934
-0.2438,0.0,0.5039
0.0,-0.4983,0.5039
0.2553,0.5023,0.4948
0.0,0.0,0.5101
-0.503,0.2503,0.4903
-0.495,0.2497,0.4933
0.0,0.2529,0.502
