        f0      f1      f2  protected        max
0   0.0000  0.0629  0.0629     0.0000         f1
1   0.0000  0.0638  0.1268     0.1268         f2
2   0.0000  0.0000  0.0000     0.0000         f0
3   0.0000  0.0000  0.0602     0.0000         f2
4   0.0000  0.0590  0.0000     0.1188  protected
5   0.0000  0.0000  0.0000     0.0000         f0
6   0.4926  0.3707  0.5053     0.3728         f2
7   0.0000  0.1251  0.1899     0.1298         f2
8   0.0000  0.0000  0.0000     0.0611  protected
9   0.0000  0.0000  0.0000     0.0000         f0
10  0.0000  0.0000  0.0610     0.0610         f2
11  0.5002  0.4999  0.4388     0.3655         f0
12  0.0000  0.0611  0.0611     0.0000         f1
13  0.5065  0.3795  0.5102     0.4429         f2
14  0.0000  0.0000  0.0633     0.0000         f2
15  0.0000  0.0000  0.0000     0.0582  protected
16  0.0000  0.0622  0.0622     0.0622         f1
17  0.0000  0.1185  0.0626     0.0000         f1
18  0.0000  0.1884  0.1281     0.1257         f1
19  0.0000  0.0000  0.0000     0.0000         f0
20  0.0000  0.0000  0.0000     0.0000         f0
21  0.5024  0.3791  0.3825     0.4996         f0
22  0.5014  0.3744  0.4330     0.3144         f0
23  0.0000  0.1290  0.1267     0.2568  protected
24  0.0000  0.0000  0.0000     0.0000         f0
25  0.0000  0.0000  0.0000     0.0000         f0
26  0.0000  0.0000  0.0000     0.0642  protected
27  0.0000  0.0000  0.0000     0.0000         f0
28  0.0000  0.1190  0.0601     0.1824  protected
29  0.0000  0.0000  0.0647     0.0647         f2
..     ...     ...     ...        ...        ...
70  0.5055  0.5022  0.4990     0.4920         f0
71  0.0000  0.2515  0.2522     0.1874         f2
72  0.0000  0.1188  0.1878     0.2421  protected
73  0.0000  0.0620  0.0000     0.0000         f1
74  0.0000  0.0000  0.0000     0.0000         f0
75  0.0000  0.0000  0.0000     0.0000         f0
76  0.0000  0.0000  0.0000     0.0000         f0
77  0.4988  0.4349  0.4312     0.5004  protected
78  0.0000  0.0624  0.0624     0.0000         f1
79  0.0000  0.0000  0.0000     0.0000         f0
80  0.0000  0.0000  0.0000     0.0625  protected
81  0.5066  0.3166  0.3768     0.2544         f0
82  0.0000  0.1257  0.1308     0.2544  protected
83  0.0000  0.0000  0.0000     0.0000         f0
84  0.0000  0.1233  0.0606     0.0000         f1
85  0.4953  0.4340  0.4427     0.3048         f0
86  0.5057  0.4317  0.3124     0.3141         f0
87  0.0000  0.1888  0.1853     0.2443  protected
88  0.0000  0.1276  0.0000     0.0649         f1
89  0.5038  0.4375  0.4341     0.3119         f0
90  0.4993  0.2461  0.2419     0.2518         f0
91  0.0000  0.0000  0.0616     0.1267  protected
92  0.5100  0.3155  0.3224     0.2552         f0
93  0.0000  0.0000  0.0000     0.0000         f0
94  0.0000  0.0000  0.0000     0.0000         f0
95  0.0000  0.0000  0.0000     0.0000         f0
96  0.0000  0.1232  0.0619     0.0000         f1
97  0.0000  0.0000  0.0621     0.0621         f2
98  0.0000  0.0000  0.0000     0.0000         f0
99  0.0000  0.1270  0.0654     0.1270         f1

[100 rows x 5 columns]


Num. FP: 18
