protected,f0
0.2415,-0.4905
0.247,-0.4872
0.0,-0.2488
0.0,-0.2493
0.2496,-0.5061
0.2502,-0.508
0.247,-0.4947
0.2509,-0.5024
0.2494,-0.4976
0.2426,-0.4982
0.2525,-0.5003
0.2469,-0.4982
0.2461,-0.503
-0.2466,-0.2466
0.2508,-0.4946
0.2497,-0.5002
0.239,-0.4894
0.2479,-0.4934
0.0,0.0
0.0,-0.2457
0.2537,-0.4968
0.2568,-0.5019
0.2456,-0.499
0.2522,-0.5074
0.0,-0.2492
0.0,-0.2579
0.0,-0.2447
0.0,-0.2463
0.2485,-0.502
0.2527,-0.5032
0.2509,-0.4982
0.2537,-0.503
0.2444,-0.498
0.2477,-0.5004
0.2474,-0.4941
0.0,0.0
0.0,-0.2449
0.0,-0.2528
0.25,-0.4981
0.2518,-0.505
0.2459,-0.489
0.252,-0.5003
0.0,-0.2475
0.2512,-0.4975
0.2545,-0.5019
0.2541,-0.5015
0.0,-0.2478
0.0,0.0
0.2511,-0.5035
0.2446,-0.4951
0.2466,-0.4937
0.0,-0.2528
0.2491,-0.4976
0.0,-0.2464
0.2568,-0.5022
0.2457,-0.5028
0.2554,-0.4944
0.2512,-0.5013
0.0,-0.2495
0.0,0.0
0.2513,-0.4999
0.2505,-0.5005
0.0,-0.253
0.0,-0.2575
0.0,0.0
0.2468,-0.4965
0.2495,-0.4965
0.2489,-0.4973
0.2497,-0.505
0.2492,-0.4956
0.2526,-0.5002
0.0,-0.2498
0.2516,-0.5019
0.0,0.0
0.2451,-0.4973
0.0,-0.2504
-0.2443,-0.2443
0.0,0.0
0.2438,-0.4923
0.0,-0.2489
0.2511,-0.5015
0.2552,-0.5013
-0.2517,-0.2517
0.2492,-0.493
0.0,0.0
0.2459,-0.4933
0.0,-0.2416
0.2539,-0.5043
0.0,-0.2444
0.0,-0.2456
0.0,-0.2438
0.0,-0.249
0.0,-0.2548
0.0,0.0
0.2527,-0.5019
0.2439,-0.4983
0.0,-0.2539
0.0,-0.245
0.0,-0.2547
0.0,0.0
