f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,protected
0.0,0.0349,-0.066,-0.1126,0.0487,-0.0877,-0.0667,-0.0861,0.066,0.0187,0.051
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.016,-0.0206,-0.015,0.0029,0.0095,-0.0206,0.0044,0.0085,0.0089,0.0
0.0,0.0422,0.0642,-0.1093,0.0639,0.0564,0.0351,0.0597,0.0136,-0.0864,-0.0714
0.0,-0.0431,-0.0851,-0.0489,0.023,0.0311,0.0129,-0.0464,0.0384,-0.0517,0.019
0.4988,-0.4423,-0.4492,0.4934,0.4794,0.4654,-0.4607,0.4914,0.4735,0.474,-0.4402
0.0,0.0092,-0.0321,0.0016,-0.0583,0.0279,0.0294,-0.0465,-0.0331,0.0244,-0.0462
0.0,-0.0016,0.0,-0.0016,0.0009,0.0,0.0,-0.0016,0.0008,-0.0016,0.0
0.0,-0.0413,0.0264,-0.0641,0.0215,-0.0552,0.0341,-0.0351,0.019,-0.0686,-0.0544
0.0,0.0396,0.0182,-0.072,0.0359,-0.068,-0.0631,0.0348,-0.0656,0.0097,0.0366
0.0,-0.0072,0.0032,0.0027,0.0003,0.0,0.0042,0.003,0.0,-0.0079,-0.0079
0.0,-0.0385,-0.0264,-0.0331,0.0183,-0.0272,-0.0263,0.0128,0.0,-0.0298,0.0141
0.0,0.0485,0.0481,0.0312,0.0296,-0.0909,-0.0821,0.0262,-0.0906,-0.0923,0.0577
0.5053,0.4912,0.497,0.4861,-0.4694,0.494,0.4846,0.4743,-0.4692,-0.4711,0.48
0.0,-0.027,0.0049,0.0065,0.0111,-0.014,0.0135,0.006,-0.027,0.0053,0.0038
0.5034,0.4308,0.4747,0.4242,-0.3686,-0.3975,0.4437,-0.4102,-0.4181,0.4453,0.4513
0.0,-0.0294,0.0028,-0.0234,-0.0275,0.0107,0.0107,-0.0204,0.0096,0.0135,0.0004
0.0,-0.0577,0.0,-0.0568,0.0447,0.0438,0.046,-0.0721,-0.0599,-0.0703,0.0113
0.0,-0.0304,-0.053,-0.0317,0.0194,0.0084,0.0113,0.0118,-0.0332,0.0047,-0.0348
0.0,-0.0997,0.0849,-0.0996,0.0303,-0.1062,-0.0807,-0.1141,0.0767,-0.1351,0.0516
0.0,0.031,0.0268,-0.0418,-0.0537,-0.0843,0.0,0.041,0.0415,-0.0426,-0.0534
0.0,-0.0433,0.005,-0.0474,-0.045,-0.0515,0.0171,-0.0565,-0.038,0.0114,-0.0567
0.0,-0.0717,-0.0578,0.0277,-0.0543,0.0464,0.002,0.0365,-0.0704,0.04,-0.0806
0.0,-0.0875,0.0446,0.055,0.0603,-0.0977,-0.1458,0.0766,-0.0831,-0.1139,0.0696
0.0,-0.036,0.0156,0.0041,-0.0444,-0.05,-0.0611,0.0191,0.031,-0.0374,-0.0487
0.0,-0.0593,-0.07,-0.0769,0.0284,-0.0844,0.0453,0.0021,-0.088,0.0596,0.0545
0.0,-0.01,0.0034,-0.0109,0.0057,0.0,0.0046,0.0018,-0.0067,-0.0109,-0.0104
0.0,-0.061,-0.0502,0.0067,0.0149,0.0364,-0.0422,0.0213,-0.0416,-0.062,0.0179
0.5031,0.4274,-0.3989,0.426,0.4392,-0.3853,-0.3982,0.4652,0.4686,0.4209,-0.3979
0.0,0.0371,-0.0793,-0.0655,-0.0822,0.0507,0.0369,0.0143,0.0222,-0.081,-0.0577
0.0,0.0042,-0.0284,0.002,-0.0443,-0.0256,-0.0261,0.0211,0.0157,0.0102,-0.0299
0.0,-0.0593,0.0097,0.0163,-0.0407,0.0339,0.0031,-0.041,-0.0376,0.0299,-0.0559
0.0,0.0,0.0007,-0.0022,0.0,-0.0022,0.0,0.0007,0.0,-0.0022,0.0
0.0,0.0316,0.0339,0.0433,0.0115,-0.0538,-0.0716,0.0501,0.0198,-0.0582,-0.0912
0.0,0.0006,-0.0029,0.0016,-0.0044,0.0017,0.0,-0.0039,-0.0044,-0.0044,-0.0044
0.0,0.0369,0.0432,0.0527,0.027,-0.0884,-0.1094,0.0487,-0.0597,-0.0891,0.0477
0.0,0.1231,-0.1823,0.1247,-0.1671,-0.1556,0.1105,-0.1654,0.1476,-0.216,-0.1781
0.0,0.0064,-0.0254,0.0096,0.0081,0.002,-0.0206,0.0075,0.0129,-0.0258,-0.0371
0.0,-0.0155,0.0069,-0.0237,-0.0122,-0.0158,0.0096,-0.0232,0.0,-0.0159,-0.0229
0.0,0.0492,-0.0793,-0.1001,-0.0992,0.0363,-0.0852,0.0659,0.0222,0.0413,0.0636
0.0,-0.0059,0.0028,0.0009,0.0,0.0,-0.0037,0.0001,0.0,-0.0052,-0.0042
0.0,-0.0175,-0.0175,0.005,0.0079,0.0051,-0.0115,0.007,-0.0175,0.0069,-0.0175
0.0,0.0357,0.0197,-0.0794,-0.0469,-0.0659,0.036,-0.0763,-0.0625,-0.0645,0.0295
0.5047,-0.4181,0.4346,0.4998,0.4733,0.4591,-0.4241,-0.4265,-0.4454,-0.4411,-0.4077
0.4851,-0.3243,0.3824,0.4202,-0.3361,0.3864,-0.3515,0.3701,-0.3112,0.4086,0.3628
