        f0      f1      f2      f3      f4      f5      f6      f7      f8      f9  protected        max
0   0.0000  0.0349  0.0660  0.1126  0.0487  0.0877  0.0667  0.0861  0.0660  0.0187     0.0510         f3
1   0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
2   0.0000  0.0160  0.0206  0.0150  0.0029  0.0095  0.0206  0.0044  0.0085  0.0089     0.0000         f2
3   0.0000  0.0422  0.0642  0.1093  0.0639  0.0564  0.0351  0.0597  0.0136  0.0864     0.0714         f3
4   0.0000  0.0431  0.0851  0.0489  0.0230  0.0311  0.0129  0.0464  0.0384  0.0517     0.0190         f2
5   0.4988  0.4423  0.4492  0.4934  0.4794  0.4654  0.4607  0.4914  0.4735  0.4740     0.4402         f0
6   0.0000  0.0092  0.0321  0.0016  0.0583  0.0279  0.0294  0.0465  0.0331  0.0244     0.0462         f4
7   0.0000  0.0016  0.0000  0.0016  0.0009  0.0000  0.0000  0.0016  0.0008  0.0016     0.0000         f1
8   0.0000  0.0413  0.0264  0.0641  0.0215  0.0552  0.0341  0.0351  0.0190  0.0686     0.0544         f9
9   0.0000  0.0396  0.0182  0.0720  0.0359  0.0680  0.0631  0.0348  0.0656  0.0097     0.0366         f3
10  0.0000  0.0072  0.0032  0.0027  0.0003  0.0000  0.0042  0.0030  0.0000  0.0079     0.0079         f9
11  0.0000  0.0385  0.0264  0.0331  0.0183  0.0272  0.0263  0.0128  0.0000  0.0298     0.0141         f1
12  0.0000  0.0485  0.0481  0.0312  0.0296  0.0909  0.0821  0.0262  0.0906  0.0923     0.0577         f9
13  0.5053  0.4912  0.4970  0.4861  0.4694  0.4940  0.4846  0.4743  0.4692  0.4711     0.4800         f0
14  0.0000  0.0270  0.0049  0.0065  0.0111  0.0140  0.0135  0.0060  0.0270  0.0053     0.0038         f1
15  0.5034  0.4308  0.4747  0.4242  0.3686  0.3975  0.4437  0.4102  0.4181  0.4453     0.4513         f0
16  0.0000  0.0294  0.0028  0.0234  0.0275  0.0107  0.0107  0.0204  0.0096  0.0135     0.0004         f1
17  0.0000  0.0577  0.0000  0.0568  0.0447  0.0438  0.0460  0.0721  0.0599  0.0703     0.0113         f7
18  0.0000  0.0304  0.0530  0.0317  0.0194  0.0084  0.0113  0.0118  0.0332  0.0047     0.0348         f2
19  0.0000  0.0997  0.0849  0.0996  0.0303  0.1062  0.0807  0.1141  0.0767  0.1351     0.0516         f9
20  0.0000  0.0310  0.0268  0.0418  0.0537  0.0843  0.0000  0.0410  0.0415  0.0426     0.0534         f5
21  0.0000  0.0433  0.0050  0.0474  0.0450  0.0515  0.0171  0.0565  0.0380  0.0114     0.0567  protected
22  0.0000  0.0717  0.0578  0.0277  0.0543  0.0464  0.0020  0.0365  0.0704  0.0400     0.0806  protected
23  0.0000  0.0875  0.0446  0.0550  0.0603  0.0977  0.1458  0.0766  0.0831  0.1139     0.0696         f6
24  0.0000  0.0360  0.0156  0.0041  0.0444  0.0500  0.0611  0.0191  0.0310  0.0374     0.0487         f6
25  0.0000  0.0593  0.0700  0.0769  0.0284  0.0844  0.0453  0.0021  0.0880  0.0596     0.0545         f8
26  0.0000  0.0100  0.0034  0.0109  0.0057  0.0000  0.0046  0.0018  0.0067  0.0109     0.0104         f3
27  0.0000  0.0610  0.0502  0.0067  0.0149  0.0364  0.0422  0.0213  0.0416  0.0620     0.0179         f9
