f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,protected
0.0,-0.0795,0.1401,-0.0493,0.1361,0.1126,0.1183,0.1131,-0.0587,0.1306,0.1209
0.0,0.2169,-0.1557,0.185,0.1894,-0.1325,-0.1245,0.1981,0.1673,0.1745,0.1631
-0.5035,-0.5019,-0.4558,-0.4269,-0.4314,0.3957,0.4018,-0.4218,-0.4473,-0.4276,0.4155
0.0,-0.0632,-0.0747,-0.0766,0.1237,0.1063,-0.0119,0.0983,0.1097,0.1181,0.0932
-0.5002,0.3275,-0.3509,0.2852,0.3293,-0.3878,0.3335,-0.3728,-0.3968,-0.371,-0.3686
-0.4975,0.4425,-0.4445,-0.4693,-0.4558,-0.4781,0.4293,0.411,0.4299,-0.4972,0.4317
0.0,0.1158,0.0836,-0.0274,0.0778,0.0955,-0.0368,-0.0511,0.0945,0.1017,-0.054
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.102,0.1118,0.0697,-0.0307,-0.0383,-0.0545,0.087,-0.0531,-0.06,-0.0439
0.0,-0.0675,0.1483,0.1122,0.1136,-0.1081,-0.0915,0.1941,-0.1051,0.1148,0.1186
0.0,0.1156,0.1066,0.1001,-0.0808,0.137,0.095,-0.0249,-0.077,0.1054,0.11
-0.5025,-0.4554,0.3856,-0.4426,-0.4438,-0.4765,0.4145,-0.4255,-0.4227,-0.4194,-0.4344
0.0,0.0549,0.0493,0.0414,0.0374,0.0427,0.0642,0.0424,-0.016,0.0342,-0.0067
0.0,0.0502,0.0701,-0.0387,0.0542,0.0827,-0.0294,0.0554,0.0546,0.0781,-0.0085
-0.4969,0.3309,0.339,-0.3834,0.2995,-0.3592,-0.3667,-0.3962,-0.3574,0.2989,0.3197
-0.4995,-0.3929,-0.4012,-0.3735,-0.4125,-0.3806,-0.3683,0.3289,-0.3908,0.3057,-0.3951
0.0,-0.1137,0.1519,0.1337,0.166,0.1314,-0.1265,0.1505,0.1591,-0.0483,-0.0925
-0.5032,-0.3983,-0.3851,-0.4264,-0.3855,0.3763,-0.3811,-0.4,-0.4303,0.3694,0.3049
0.0,-0.0393,-0.0496,-0.0457,0.0897,-0.0451,-0.0162,0.0825,0.0697,-0.0168,-0.0489
-0.5027,0.4358,-0.4927,-0.4527,-0.4566,0.4385,-0.4829,-0.4607,0.4385,-0.4653,-0.476
0.0,-0.0426,0.091,0.1167,0.1292,0.0935,0.1233,-0.075,0.0965,-0.0751,-0.0547
0.0,0.0732,-0.0149,0.0694,-0.0374,0.0669,0.0837,-0.008,-0.0592,0.0644,0.0706
-0.4927,0.3498,-0.3812,-0.3997,0.3712,0.3694,0.3381,-0.3965,-0.4656,0.3685,0.3639
0.0,0.0691,0.1022,-0.0594,0.073,0.1128,-0.0291,-0.0644,0.1108,-0.058,-0.0554
0.0,0.0255,0.02,0.0213,0.027,-0.0167,-0.0015,-0.0057,-0.0122,0.0356,0.0
-0.5055,0.3337,-0.4198,0.3433,0.3041,-0.368,0.35,0.3424,0.3462,-0.3989,0.3519
0.0,-0.0836,0.1122,0.1264,0.1251,-0.0783,-0.0349,0.1425,-0.0826,0.1374,0.1177
0.0,-0.0909,-0.0963,0.171,-0.0701,0.1568,-0.1017,0.1339,-0.0991,0.1525,0.1179
-0.5033,-0.4369,0.3338,0.3538,0.3449,-0.385,-0.3918,0.3565,0.3453,-0.3678,0.3648
0.0,0.0684,-0.0229,-0.0302,-0.0125,0.0655,-0.0263,-0.0206,0.0466,-0.0255,0.0588
0.0,-0.0034,-0.0057,0.0367,0.0343,0.0278,-0.0255,0.0325,0.0,0.0262,-0.0134
-0.4957,0.4574,-0.4619,-0.4732,-0.4912,-0.4771,-0.4681,0.4379,-0.4987,-0.4701,-0.4826
0.0,0.0822,0.0733,-0.0598,-0.0553,0.1284,0.1295,0.0708,0.0811,-0.0541,-0.0505
0.0,0.0684,-0.0316,0.0948,-0.0284,0.0789,-0.0344,0.0607,0.0644,-0.0415,0.0888
0.0,0.1104,-0.0655,-0.0655,-0.0905,-0.067,0.1576,-0.0605,0.0964,0.1236,0.0995
0.0,-0.0437,-0.0525,0.081,-0.0382,-0.0523,0.0992,-0.0494,0.1154,-0.0404,0.0722
0.0,0.1356,-0.0563,-0.0617,0.0845,0.1016,-0.0508,-0.0642,-0.0752,0.0871,0.1284
0.0,0.1221,0.1428,0.1176,0.14,-0.0969,0.1156,0.1166,0.1575,-0.0528,0.1464
0.0,-0.0413,0.06,0.0547,-0.0243,0.0773,-0.0077,0.0851,-0.054,-0.0325,0.0549
0.0,0.0648,-0.023,0.0837,0.0875,0.0892,-0.0377,-0.0248,0.0666,0.0604,-0.0289
0.0,0.1587,0.1349,-0.0917,-0.0874,-0.0881,0.1588,0.1307,-0.0763,0.1691,-0.1107
-0.4908,0.3521,0.3597,-0.395,-0.3853,0.3713,0.371,0.3758,0.3534,-0.4754,-0.3782
-0.4974,-0.4583,0.3911,-0.4357,0.4111,0.3858,0.3878,0.4034,-0.4561,0.3727,-0.4384
0.0,0.1052,0.0764,-0.0375,-0.0632,-0.058,0.1234,0.0759,0.0933,-0.0227,-0.0615
0.0,-0.0654,-0.0652,0.105,-0.0475,-0.0307,0.1159,-0.0628,-0.0528,-0.0408,0.0878
-0.5002,-0.4261,0.4037,0.3941,-0.4161,-0.4571,-0.4196,-0.4393,-0.4234,0.3504,-0.4524
-0.5016,-0.4128,-0.4347,-0.4455,-0.4163,-0.4246,-0.4276,0.3905,-0.4525,0.3909,-0.4416
0.0,-0.0902,0.1503,0.1254,0.1401,0.1082,-0.0761,-0.0486,0.1042,0.1007,0.1136
0.0,-0.0057,0.0635,-0.0361,0.0877,-0.0415,-0.0287,0.063,0.0575,-0.0282,-0.0439
0.0,-0.012,0.1157,0.0821,-0.0576,0.1073,-0.0668,0.0908,-0.0511,0.0828,-0.0691
-0.506,0.4129,-0.4211,0.4092,-0.4653,0.405,0.4059,0.4155,-0.4682,0.3787,-0.4477
-0.4935,0.408,0.3772,-0.4442,-0.4775,0.4326,-0.4382,-0.4622,-0.448,-0.4429,-0.4352
0.0,0.0766,0.0787,0.0787,-0.0229,0.0596,0.0585,-0.0526,-0.0369,0.0,-0.0506
-0.4954,0.3937,-0.4835,-0.4445,0.4125,0.4159,0.3895,-0.4335,0.4206,-0.4716,0.4209
