        f0      f1      f2      f3      f4      f5      f6      f7      f8      f9  protected        max
0   0.0000  0.0795  0.1401  0.0493  0.1361  0.1126  0.1183  0.1131  0.0587  0.1306     0.1209         f2
1   0.0000  0.2169  0.1557  0.1850  0.1894  0.1325  0.1245  0.1981  0.1673  0.1745     0.1631         f1
2   0.5035  0.5019  0.4558  0.4269  0.4314  0.3957  0.4018  0.4218  0.4473  0.4276     0.4155         f0
3   0.0000  0.0632  0.0747  0.0766  0.1237  0.1063  0.0119  0.0983  0.1097  0.1181     0.0932         f4
4   0.5002  0.3275  0.3509  0.2852  0.3293  0.3878  0.3335  0.3728  0.3968  0.3710     0.3686         f0
5   0.4975  0.4425  0.4445  0.4693  0.4558  0.4781  0.4293  0.4110  0.4299  0.4972     0.4317         f0
6   0.0000  0.1158  0.0836  0.0274  0.0778  0.0955  0.0368  0.0511  0.0945  0.1017     0.0540         f1
7   0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
8   0.0000  0.1020  0.1118  0.0697  0.0307  0.0383  0.0545  0.0870  0.0531  0.0600     0.0439         f2
9   0.0000  0.0675  0.1483  0.1122  0.1136  0.1081  0.0915  0.1941  0.1051  0.1148     0.1186         f7
10  0.0000  0.1156  0.1066  0.1001  0.0808  0.1370  0.0950  0.0249  0.0770  0.1054     0.1100         f5
11  0.5025  0.4554  0.3856  0.4426  0.4438  0.4765  0.4145  0.4255  0.4227  0.4194     0.4344         f0
12  0.0000  0.0549  0.0493  0.0414  0.0374  0.0427  0.0642  0.0424  0.0160  0.0342     0.0067         f6
13  0.0000  0.0502  0.0701  0.0387  0.0542  0.0827  0.0294  0.0554  0.0546  0.0781     0.0085         f5
14  0.4969  0.3309  0.3390  0.3834  0.2995  0.3592  0.3667  0.3962  0.3574  0.2989     0.3197         f0
15  0.4995  0.3929  0.4012  0.3735  0.4125  0.3806  0.3683  0.3289  0.3908  0.3057     0.3951         f0
16  0.0000  0.1137  0.1519  0.1337  0.1660  0.1314  0.1265  0.1505  0.1591  0.0483     0.0925         f4
17  0.5032  0.3983  0.3851  0.4264  0.3855  0.3763  0.3811  0.4000  0.4303  0.3694     0.3049         f0
18  0.0000  0.0393  0.0496  0.0457  0.0897  0.0451  0.0162  0.0825  0.0697  0.0168     0.0489         f4
19  0.5027  0.4358  0.4927  0.4527  0.4566  0.4385  0.4829  0.4607  0.4385  0.4653     0.4760         f0
20  0.0000  0.0426  0.0910  0.1167  0.1292  0.0935  0.1233  0.0750  0.0965  0.0751     0.0547         f4
21  0.0000  0.0732  0.0149  0.0694  0.0374  0.0669  0.0837  0.0080  0.0592  0.0644     0.0706         f6
22  0.4927  0.3498  0.3812  0.3997  0.3712  0.3694  0.3381  0.3965  0.4656  0.3685     0.3639         f0
23  0.0000  0.0691  0.1022  0.0594  0.0730  0.1128  0.0291  0.0644  0.1108  0.0580     0.0554         f5
24  0.0000  0.0255  0.0200  0.0213  0.0270  0.0167  0.0015  0.0057  0.0122  0.0356     0.0000         f9
25  0.5055  0.3337  0.4198  0.3433  0.3041  0.3680  0.3500  0.3424  0.3462  0.3989     0.3519         f0
26  0.0000  0.0836  0.1122  0.1264  0.1251  0.0783  0.0349  0.1425  0.0826  0.1374     0.1177         f7
27  0.0000  0.0909  0.0963  0.1710  0.0701  0.1568  0.1017  0.1339  0.0991  0.1525     0.1179         f3
