f0,f1,f2,f3,f4,f5,f6,protected
0.0,-0.0224,0.0501,0.0332,0.0609,0.0573,0.0499,0.057
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0591,0.043,0.068,-0.0194,-0.0153,0.0443,0.0784
0.0,0.0784,-0.029,0.1239,0.0787,-0.0313,0.1209,0.0776
0.0,0.0,0.0608,-0.0385,0.1031,0.0676,-0.0534,0.0754
0.0,0.0,0.0,0.0153,0.0086,0.0,0.0079,0.0
0.0,-0.0618,0.0822,-0.0671,-0.0286,0.0754,0.0863,0.1524
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.0155,0.051,0.0433,0.063,0.0417,0.0,-0.0216
0.0,-0.0483,-0.0384,0.0551,0.0949,0.0788,-0.0411,0.0
0.0,0.0,0.0121,0.0075,0.0121,0.0121,-0.0045,0.0121
0.0,0.0891,0.0844,-0.0072,0.0749,0.0757,0.1119,-0.0421
-0.499,-0.4755,-0.4881,-0.4417,0.4004,-0.4733,0.4282,0.424
0.0,0.1095,-0.0523,-0.0424,-0.0156,0.0762,-0.0434,-0.037
0.0,0.023,-0.0144,-0.0144,0.0465,-0.0073,-0.0091,0.0
0.0,0.0,0.015,0.0181,0.0,0.0261,0.0219,-0.0064
-0.4979,0.4925,-0.4978,-0.5034,0.4873,-0.4973,-0.4993,-0.4928
0.0,0.1008,-0.053,0.0977,0.1216,0.1026,-0.0214,0.0969
0.0,-0.0109,0.0223,0.0,0.0,0.0,-0.0073,-0.0074
