protected,f0
0.2458,-0.4972
0.2473,-0.5057
0.246,-0.4951
0.2577,-0.5095
0.2478,-0.5074
0.2457,-0.4873
0.2525,-0.499
0.2431,-0.503
0.2478,-0.5005
0.2478,-0.507
0.248,-0.5028
0.2479,-0.5017
0.2471,-0.4993
0.2441,-0.4974
0.2508,-0.4988
0.2488,-0.5092
0.2485,-0.4995
0.2511,-0.5044
0.2529,-0.4978
0.2483,-0.4947
0.2444,-0.4922
0.2471,-0.4977
0.2473,-0.5063
0.2416,-0.5024
0.2481,-0.4998
0.2621,-0.506
0.2545,-0.5009
0.2501,-0.5004
0.2514,-0.5024
0.2446,-0.4994
0.2519,-0.5069
0.2571,-0.5096
0.254,-0.5054
0.2562,-0.5021
0.2445,-0.5052
0.2434,-0.4891
0.2481,-0.4993
0.2511,-0.4999
0.2472,-0.5057
0.2579,-0.5044
0.2457,-0.4945
0.2495,-0.4994
0.2476,-0.4982
0.2491,-0.4971
0.2437,-0.4942
0.2515,-0.5085
0.2453,-0.4929
0.2511,-0.5021
0.2542,-0.4988
0.2443,-0.501
0.2514,-0.5011
0.2479,-0.4978
0.2529,-0.5003
0.2502,-0.5023
0.2471,-0.4915
0.248,-0.4933
0.253,-0.4994
0.251,-0.5072
0.2501,-0.5011
0.2518,-0.4998
0.2458,-0.494
0.2452,-0.4967
0.2576,-0.5074
0.2483,-0.4964
0.2596,-0.5076
0.2579,-0.507
0.2488,-0.496
0.2528,-0.4975
0.244,-0.49
0.2456,-0.4932
0.2507,-0.4987
0.2557,-0.5009
0.2532,-0.5035
0.2432,-0.4991
0.252,-0.5043
0.2494,-0.495
0.2446,-0.5081
0.2589,-0.5103
0.2477,-0.4925
0.2524,-0.4991
0.2582,-0.5038
0.2477,-0.4964
0.2495,-0.4954
0.2578,-0.5051
0.2508,-0.5014
0.2483,-0.5056
0.247,-0.4985
0.2433,-0.5053
0.2454,-0.4977
0.2475,-0.5007
0.2475,-0.5012
0.2489,-0.4978
0.2537,-0.5008
0.2511,-0.5078
0.2434,-0.5008
0.2461,-0.4862
0.2468,-0.5018
0.2512,-0.498
0.2577,-0.5083
0.2427,-0.5003
