        f0      f1      f2      f3      f4      f5    ...         f11     f12     f13     f14  protected        max
0   0.0000  0.0973  0.1232  0.1028  0.1343  0.1039    ...      0.0661  0.1477  0.1188  0.1434     0.1298         f8
1   0.0000  0.1547  0.1149  0.2105  0.1368  0.1454    ...      0.1169  0.1030  0.1345  0.1331     0.1412         f3
2   0.0000  0.1269  0.1050  0.1105  0.1628  0.1238    ...      0.1108  0.0845  0.1055  0.0687     0.0805         f4
3   0.4974  0.3032  0.2720  0.3057  0.3163  0.3053    ...      0.3273  0.3433  0.3247  0.3080     0.2775         f0
4   0.0000  0.1114  0.1386  0.1302  0.1147  0.1200    ...      0.1322  0.1055  0.1020  0.1311     0.0771         f9
5   0.0000  0.0324  0.0012  0.0105  0.0351  0.0170    ...      0.0243  0.0213  0.0279  0.0120     0.0077         f4
6   0.4980  0.3435  0.3157  0.3604  0.3539  0.3835    ...      0.3614  0.3041  0.3597  0.3478     0.3137         f0
7   0.0000  0.1376  0.1483  0.1283  0.1376  0.0571    ...      0.1280  0.1489  0.1521  0.1455     0.1645  protected
8   0.5147  0.3986  0.3797  0.3502  0.3558  0.4221    ...      0.3767  0.3734  0.3820  0.3206     0.4112         f0
9   0.0000  0.0594  0.1135  0.0918  0.0478  0.0590    ...      0.0869  0.0733  0.0894  0.0870     0.0456         f2
10  0.0000  0.1718  0.1453  0.1898  0.1878  0.1499    ...      0.2022  0.1258  0.1241  0.1498     0.1377        f11
11  0.0000  0.0305  0.0219  0.0305  0.0676  0.0355    ...      0.0585  0.0071  0.0387  0.0303     0.0576         f4
12  0.4952  0.4028  0.3868  0.3902  0.3856  0.4574    ...      0.3806  0.4225  0.3737  0.4222     0.3960         f0
13  0.5029  0.4360  0.4152  0.4450  0.4350  0.4347    ...      0.4738  0.4538  0.4448  0.4449     0.4600         f0
14  0.0000  0.1393  0.1807  0.1766  0.1456  0.1838    ...      0.1373  0.1933  0.1735  0.1377     0.1997         f6
15  0.4891  0.4708  0.4896  0.5017  0.4920  0.4692    ...      0.4754  0.4807  0.4935  0.4784     0.4754         f3
16  0.4990  0.4455  0.4700  0.4183  0.4405  0.4182    ...      0.3794  0.4182  0.3987  0.4569     0.4155         f0
17  0.0000  0.1529  0.1127  0.1231  0.0907  0.1508    ...      0.1220  0.1468  0.1110  0.1416     0.1108         f7
18  0.0000  0.1921  0.1533  0.1224  0.1287  0.1231    ...      0.1034  0.1332  0.1127  0.1602     0.1708         f1
19  0.5056  0.3745  0.4049  0.4087  0.3830  0.4048    ...      0.4526  0.3870  0.4219  0.4281     0.4440         f0
20  0.0000  0.0880  0.0849  0.0795  0.1206  0.1198    ...      0.0621  0.1294  0.0964  0.0767     0.0779         f7
21  0.0000  0.1468  0.1243  0.1126  0.1233  0.0705    ...      0.1494  0.1421  0.0941  0.0734     0.0766        f11
22  0.0000  0.0133  0.0020  0.0208  0.0004  0.0184    ...      0.0071  0.0204  0.0082  0.0153     0.0153         f3
23  0.0000  0.0049  0.0194  0.0059  0.0045  0.0130    ...      0.0051  0.0112  0.0064  0.0078     0.0123         f7
24  0.0000  0.0339  0.0286  0.0148  0.0260  0.0427    ...      0.0036  0.0022  0.0348  0.0254     0.0388         f5
25  0.4998  0.4146  0.4440  0.4530  0.4345  0.4235    ...      0.4357  0.4627  0.4174  0.4409     0.4185         f0
26  0.0000  0.0739  0.0664  0.0701  0.0983  0.0359    ...      0.0978  0.0879  0.0459  0.0420     0.1218  protected
27  0.4989  0.4022  0.4239  0.4164  0.4605  0.3753    ...      0.4072  0.3866  0.4363  0.3913     0.4123         f0
28  0.0000  0.0091  0.0274  0.0341  0.0361  0.0307    ...      0.0451  0.0212  0.0334  0.0500     0.0249        f14
29  0.0000  0.1436  0.1485  0.1958  0.1509  0.1249    ...      0.1135  0.1369  0.1888  0.1293     0.1886         f3
..     ...     ...     ...     ...     ...     ...    ...         ...     ...     ...     ...        ...        ...
70  0.5046  0.4178  0.3697  0.4426  0.4177  0.4573    ...      0.4536  0.3806  0.4157  0.4187     0.4176         f0
71  0.0000  0.1914  0.1659  0.1602  0.1208  0.1921    ...      0.2086  0.1372  0.1754  0.1402     0.1671        f11
