f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,protected
-0.4999,-0.3855,0.2997,-0.3617,0.362,0.3466,0.3414,-0.4205,-0.3971,-0.3846,0.3588
0.0,-0.0545,-0.0836,-0.0837,0.1243,0.1417,-0.079,0.1163,-0.0731,-0.0425,-0.0631
0.0,0.0325,-0.0169,-0.0032,0.027,-0.002,-0.0181,-0.0113,-0.0117,0.0265,0.0333
-0.5099,0.4074,-0.4656,0.4042,-0.4377,-0.4256,-0.4662,-0.4402,0.4066,0.383,-0.4604
0.0,-0.0209,-0.0135,0.0664,-0.0469,-0.0407,0.0911,0.052,0.0662,0.0676,-0.0464
0.0,0.1185,0.1631,0.1156,-0.0899,-0.0633,0.1122,-0.1004,0.1308,0.1369,-0.05
-0.4987,-0.4832,0.4258,0.4478,0.4409,0.4458,-0.4654,-0.4597,0.4536,-0.5015,-0.4773
-0.4997,-0.4565,-0.4545,0.4369,-0.4869,0.4192,0.4147,-0.4524,-0.465,0.4274,-0.4817
-0.5013,-0.3953,-0.4386,-0.4367,-0.404,0.3723,-0.4475,0.3945,0.3613,0.401,-0.4329
0.0,0.0755,0.1052,-0.0457,0.0804,-0.0508,0.0781,0.0843,-0.0556,-0.0652,-0.0021
0.0,0.0156,-0.008,0.0163,0.0,0.0153,0.0164,-0.0023,0.0116,0.0,0.0257
0.0,-0.0008,0.023,0.0261,0.034,-0.0138,0.0243,-0.0024,-0.0021,0.0271,0.0295
0.0,0.0716,-0.051,-0.0458,0.0826,-0.0451,-0.0276,0.079,0.0785,0.073,-0.0197
-0.4971,0.4407,-0.4572,-0.4475,-0.4727,-0.4682,-0.47,0.4047,-0.4381,-0.4613,0.4167
0.0,-0.01,0.0,-0.0104,0.0,0.0268,0.0266,0.0214,-0.0075,0.0214,-0.011
0.0,0.053,-0.0324,0.0481,-0.0332,0.0535,-0.0395,0.0698,-0.0097,0.0452,0.0
0.0,0.0059,0.0,0.0071,-0.0031,0.0087,0.0051,0.0,0.0,0.0079,-0.0015
0.0,-0.004,-0.003,0.0216,0.0188,-0.0054,-0.0026,-0.0043,0.018,0.024,-0.0082
0.0,-0.0129,0.0345,0.0233,-0.0066,-0.0012,-0.0108,-0.0165,-0.0174,0.0245,0.0429
0.0,-0.0072,-0.0026,0.0375,-0.0136,-0.0247,0.0517,0.0332,-0.0256,-0.0114,-0.0248
0.0,-0.0047,-0.0071,0.0,-0.0088,0.0219,-0.0011,-0.0078,-0.0036,0.0165,0.0165
-0.4928,-0.4911,0.433,-0.4688,-0.4751,-0.4578,0.4428,-0.465,0.4378,-0.4544,-0.4753
0.0,0.0732,0.0611,-0.0068,-0.0141,-0.0249,-0.0416,0.0621,-0.038,0.0529,0.0465
-0.5062,0.4425,-0.4826,-0.4878,-0.4646,-0.4743,-0.482,-0.4775,-0.4971,-0.465,-0.4735
0.0,0.2057,0.2076,-0.169,0.1757,-0.163,0.2394,0.1929,-0.1771,0.2208,0.1824
-0.4937,-0.4232,0.3813,-0.4652,0.4175,0.3959,-0.4565,-0.4408,0.3903,-0.46,-0.4387
-0.4968,0.4146,0.4281,-0.4885,0.4095,-0.4276,-0.4664,0.4312,0.4126,-0.4611,0.4278
0.0,0.1514,-0.0753,-0.0656,-0.0709,-0.0695,0.1384,-0.082,0.1153,-0.0628,0.1158
0.0,0.0192,-0.0054,0.0,0.0181,0.0168,-0.0006,0.0201,-0.0081,0.0179,-0.0055
0.0,0.0123,-0.0045,-0.0045,0.0069,0.0123,0.0065,0.0,-0.0045,0.0,0.0123
0.0,-0.0544,-0.035,0.1274,0.0726,-0.0477,0.0858,-0.0413,0.0865,0.068,0.0749
0.0,0.017,-0.001,-0.0074,0.0149,0.0136,-0.0071,0.0232,-0.0009,-0.0119,0.0
0.0,-0.0035,0.0306,0.0211,-0.0016,-0.0063,0.0263,0.0187,0.0192,-0.005,0.0168
0.0,-0.0128,-0.0025,0.0297,0.0451,-0.0225,-0.0042,0.0326,0.0306,0.0294,0.0334
0.0,0.0432,-0.035,0.0467,0.0558,0.0531,0.0491,0.0668,0.0735,0.0495,-0.0172
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.0041,-0.0041,0.0103,0.0103,-0.003,0.0,-0.0043,0.0,0.0,-0.0036
-0.5057,-0.4824,-0.4777,-0.4703,0.4427,-0.4783,0.459,-0.4827,-0.4855,-0.4857,-0.4836
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.5047,-0.4478,-0.4501,-0.472,-0.4898,-0.4495,-0.4611,0.4056,0.4269,-0.4704,-0.4541
0.0,-0.0033,0.0207,-0.0098,-0.0017,0.0258,-0.0062,0.0168,-0.0029,0.0138,0.0239
0.0,-0.0326,0.0687,-0.0575,-0.0621,0.1353,0.07,0.0734,0.0866,-0.0593,0.0915
0.0,0.0866,0.1091,-0.0503,-0.0405,0.069,0.1033,-0.0369,0.0802,-0.0426,-0.0584
0.0,-0.0054,0.0348,-0.0114,-0.0288,0.0588,-0.0181,-0.0156,-0.026,0.0502,0.0378
-0.4976,-0.4091,-0.4237,0.3219,0.3696,-0.4004,-0.4217,-0.408,-0.4321,0.3881,0.36
