        f0      f1      f2      f3      f4      f5      f6      f7      f8      f9  protected        max
92  0.5057  0.4824  0.4777  0.4703  0.4427  0.4783  0.4590  0.4827  0.4855  0.4857     0.4836         f0
93  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
94  0.5047  0.4478  0.4501  0.4720  0.4898  0.4495  0.4611  0.4056  0.4269  0.4704     0.4541         f0
95  0.0000  0.0033  0.0207  0.0098  0.0017  0.0258  0.0062  0.0168  0.0029  0.0138     0.0239         f5
96  0.0000  0.0326  0.0687  0.0575  0.0621  0.1353  0.0700  0.0734  0.0866  0.0593     0.0915         f5
97  0.0000  0.0866  0.1091  0.0503  0.0405  0.0690  0.1033  0.0369  0.0802  0.0426     0.0584         f2
98  0.0000  0.0054  0.0348  0.0114  0.0288  0.0588  0.0181  0.0156  0.0260  0.0502     0.0378         f5
99  0.4976  0.4091  0.4237  0.3219  0.3696  0.4004  0.4217  0.4080  0.4321  0.3881     0.3600         f0

[100 rows x 12 columns]


Num. FP: 8
