protected,f0,accuracy,eps,protected_corr,pcp,fcorr,fcp
-0.105,0.0,0.8977,0.78,-0.62,0.0,0.01,0.57
-0.093,0.0,0.9026,0.8,-0.61,0.0,0.01,0.47
-0.1014,0.0,0.8987,0.83,-0.64,0.0,0.02,0.13
-0.0958,0.0,0.9023,0.79,-0.61,0.0,-0.01,0.6
-0.1036,0.0,0.9012,0.79,-0.63,0.0,-0.0,0.81
-0.1033,0.0,0.9017,0.81,-0.65,0.0,-0.01,0.45
-0.1014,0.0,0.8974,0.81,-0.63,0.0,0.0,0.64
-0.0918,0.0,0.908,0.81,-0.62,0.0,0.01,0.19
-0.0991,0.0,0.9009,0.81,-0.64,0.0,-0.0,0.76
-0.1098,0.0,0.9027,0.8,-0.65,0.0,-0.01,0.45
-0.0998,0.0,0.8998,0.79,-0.62,0.0,-0.0,0.91
-0.1017,0.0,0.8963,0.8,-0.63,0.0,-0.0,0.92
-0.1048,0.0,0.8986,0.82,-0.65,0.0,0.0,0.77
-0.0994,0.0,0.9014,0.8,-0.62,0.0,0.01,0.18
-0.097,0.0,0.8981,0.79,-0.62,0.0,-0.01,0.53
-0.0994,0.0,0.9024,0.79,-0.61,0.0,0.01,0.53
-0.1025,0.0,0.9045,0.78,-0.62,0.0,0.0,0.9
-0.1049,0.0,0.9022,0.81,-0.65,0.0,0.02,0.09
-0.101,0.0,0.8943,0.79,-0.63,0.0,-0.0,0.82
-0.1029,0.0,0.9028,0.8,-0.63,0.0,0.01,0.29
-0.1023,0.0,0.9044,0.8,-0.63,0.0,0.02,0.09
-0.0984,0.0,0.8918,0.8,-0.62,0.0,0.0,0.98
-0.1009,0.0,0.9006,0.81,-0.63,0.0,0.0,0.8
-0.1019,0.0,0.9052,0.78,-0.62,0.0,0.0,0.99
-0.101,0.0,0.9005,0.8,-0.62,0.0,-0.0,0.81
-0.1029,0.0,0.902,0.8,-0.63,0.0,-0.01,0.24
-0.0961,0.0,0.898,0.8,-0.63,0.0,0.01,0.39
-0.1049,0.0,0.9057,0.81,-0.64,0.0,-0.01,0.43
-0.0952,0.0,0.8994,0.83,-0.64,0.0,-0.0,0.67
-0.0985,0.0,0.9033,0.8,-0.62,0.0,-0.01,0.22
-0.1021,0.0,0.9014,0.79,-0.62,0.0,0.0,0.89
-0.1028,0.0,0.9008,0.79,-0.63,0.0,-0.02,0.06
-0.0991,0.0,0.8964,0.82,-0.65,0.0,-0.0,0.78
-0.0969,0.0,0.9025,0.79,-0.62,0.0,0.01,0.32
-0.1013,0.0,0.9007,0.79,-0.61,0.0,0.03,0.01
-0.0972,0.0,0.8945,0.79,-0.61,0.0,-0.0,0.68
-0.0986,0.0,0.8966,0.8,-0.62,0.0,0.01,0.43
-0.0989,0.0,0.8971,0.8,-0.62,0.0,0.01,0.5
-0.1007,0.0,0.9029,0.81,-0.64,0.0,0.01,0.2
-0.0919,0.0,0.8986,0.8,-0.62,0.0,0.01,0.24
-0.0985,0.0,0.8984,0.82,-0.64,0.0,-0.01,0.47
-0.0992,0.0,0.903,0.8,-0.62,0.0,-0.0,0.8
-0.0973,0.0,0.902,0.8,-0.61,0.0,0.01,0.18
-0.103,0.0,0.902,0.82,-0.64,0.0,-0.0,0.79
-0.0991,0.0,0.9022,0.81,-0.63,0.0,0.0,0.67
-0.1026,0.0,0.8986,0.81,-0.64,0.0,0.0,0.8
-0.0993,0.0,0.8974,0.8,-0.61,0.0,-0.0,0.96
-0.0999,0.0,0.9038,0.81,-0.62,0.0,0.01,0.5
-0.1058,0.0,0.8963,0.79,-0.62,0.0,-0.01,0.4
-0.0986,0.0,0.8996,0.8,-0.62,0.0,0.0,0.88
