protected,f0,accuracy,eps,protected_corr,pcp,fcorr,fcp
0.0,0.0,0.6358,0.39,0.24,0.0,0.02,0.11
0.0,0.0,0.6342,0.4,0.25,0.0,-0.0,0.97
0.0,0.0,0.644,0.4,0.25,0.0,0.01,0.23
0.0,0.0,0.6335,0.4,0.25,0.0,-0.01,0.28
0.0,0.0,0.6371,0.39,0.24,0.0,-0.01,0.28
0.0,0.0,0.6487,0.4,0.25,0.0,0.01,0.58
0.0,0.0,0.6409,0.4,0.25,0.0,-0.01,0.48
0.0,0.0,0.6433,0.39,0.25,0.0,-0.01,0.4
0.0,0.0,0.6504,0.4,0.25,0.0,-0.0,0.79
0.0,0.0,0.6413,0.4,0.26,0.0,-0.01,0.2
0.0,0.0,0.6471,0.41,0.25,0.0,0.01,0.58
0.0,0.0,0.6424,0.39,0.25,0.0,-0.0,0.78
0.0,0.0,0.6446,0.41,0.25,0.0,0.01,0.31
0.0,0.0,0.6485,0.41,0.25,0.0,-0.01,0.48
0.0,0.0,0.6402,0.4,0.25,0.0,-0.01,0.23
0.0,0.0,0.6342,0.41,0.26,0.0,0.0,0.76
0.0,0.0,0.6383,0.4,0.25,0.0,-0.0,0.64
0.0,0.0,0.6397,0.4,0.25,0.0,0.01,0.43
0.0,0.0,0.6408,0.4,0.25,0.0,0.02,0.13
0.0,0.0,0.6337,0.39,0.25,0.0,0.0,0.99
0.0,0.0,0.6384,0.4,0.25,0.0,0.01,0.46
0.0,0.0,0.6428,0.4,0.25,0.0,0.01,0.32
0.0,0.0,0.6432,0.4,0.25,0.0,-0.01,0.26
0.0,0.0,0.6348,0.4,0.25,0.0,0.01,0.56
0.0,0.0,0.6426,0.4,0.24,0.0,-0.0,0.78
0.0,0.0,0.6359,0.4,0.24,0.0,0.02,0.03
0.0,0.0,0.6448,0.4,0.26,0.0,-0.0,0.63
0.0,0.0,0.6451,0.4,0.26,0.0,-0.02,0.06
0.0,0.0,0.6381,0.4,0.25,0.0,-0.01,0.16
0.0,0.0,0.6411,0.4,0.25,0.0,0.0,0.84
0.0,0.0,0.6476,0.4,0.25,0.0,0.01,0.24
0.0,0.0,0.6479,0.4,0.24,0.0,0.01,0.58
0.0,0.0,0.6405,0.4,0.26,0.0,-0.01,0.51
0.0,0.0,0.6338,0.4,0.25,0.0,-0.01,0.48
0.0,0.0,0.648,0.4,0.25,0.0,0.0,0.97
0.0,0.0,0.6407,0.4,0.25,0.0,0.01,0.36
0.0,0.0,0.6363,0.4,0.25,0.0,0.0,0.69
0.0,0.0,0.6408,0.41,0.25,0.0,0.01,0.36
0.0,0.0,0.6433,0.4,0.25,0.0,-0.0,0.91
0.0,0.0,0.6403,0.41,0.25,0.0,-0.0,0.95
0.0,0.0,0.6452,0.4,0.25,0.0,0.01,0.37
0.0,0.0,0.6355,0.4,0.26,0.0,0.01,0.38
0.0,0.0,0.6407,0.41,0.25,0.0,-0.01,0.5
0.0,0.0,0.6393,0.39,0.25,0.0,0.0,0.88
0.0,0.0,0.6445,0.39,0.25,0.0,0.01,0.35
0.0,0.0,0.637,0.4,0.25,0.0,-0.01,0.19
0.0,0.0,0.639,0.4,0.25,0.0,-0.02,0.04
0.0,0.0,0.6404,0.39,0.25,0.0,-0.0,0.78
0.0,0.0,0.6443,0.4,0.24,0.0,0.0,0.84
0.0,0.0,0.6364,0.4,0.25,0.0,0.0,0.79
0.0,0.0,0.6339,0.4,0.25,0.0,0.01,0.36
0.0,0.0,0.6404,0.4,0.25,0.0,0.0,0.9
0.0,0.0,0.6354,0.4,0.25,0.0,-0.01,0.41
0.0,0.0,0.631,0.39,0.24,0.0,0.01,0.46
0.0,0.0,0.6354,0.4,0.26,0.0,0.0,0.86
0.0,0.0,0.6403,0.4,0.26,0.0,0.01,0.46
0.0,0.0,0.6407,0.4,0.25,0.0,-0.01,0.43
0.0,0.0,0.6407,0.39,0.24,0.0,0.01,0.6
0.0,0.0,0.6451,0.4,0.26,0.0,-0.02,0.09
0.0,0.0,0.6301,0.4,0.25,0.0,0.01,0.38
0.0,0.0,0.6413,0.41,0.25,0.0,0.01,0.16
0.0,0.0,0.6365,0.4,0.25,0.0,0.01,0.35
0.0,0.0,0.631,0.4,0.25,0.0,-0.02,0.05
0.0,0.0,0.6312,0.4,0.25,0.0,0.01,0.24
0.0,0.0,0.6426,0.41,0.25,0.0,0.02,0.06
0.0,0.0,0.6402,0.4,0.26,0.0,-0.01,0.39
0.0,0.0,0.6446,0.4,0.26,0.0,-0.02,0.11
0.0,0.0,0.6387,0.39,0.25,0.0,0.01,0.49
0.0,0.0,0.6311,0.41,0.25,0.0,0.01,0.14
0.0,0.0,0.6278,0.39,0.25,0.0,-0.02,0.07
0.0,0.0,0.6368,0.4,0.25,0.0,-0.0,0.79
0.0,0.0,0.6452,0.4,0.25,0.0,-0.02,0.04
