protected,f0,accuracy,eps,protected_corr,pcp,fcorr,fcp
-0.0547,0.0,0.8976,0.82,-0.53,0.0,0.01,0.18
-0.0539,0.0,0.9027,0.79,-0.51,0.0,0.01,0.49
-0.0247,0.0251,0.8819,0.8,-0.51,0.0,0.01,0.33
-0.0252,0.0251,0.8836,0.79,-0.5,0.0,0.01,0.21
-0.0517,0.0,0.9039,0.81,-0.51,0.0,-0.01,0.61
-0.0245,0.0237,0.8798,0.8,-0.49,0.0,0.01,0.27
-0.0252,0.0258,0.8781,0.79,-0.5,0.0,0.01,0.42
-0.0235,0.0269,0.8772,0.8,-0.51,0.0,-0.02,0.03
-0.0261,0.0243,0.8759,0.8,-0.5,0.0,0.0,0.99
-0.0521,0.0,0.8929,0.82,-0.53,0.0,-0.01,0.44
-0.0265,0.0261,0.8799,0.78,-0.5,0.0,-0.0,0.91
-0.0561,0.0,0.8965,0.77,-0.5,0.0,-0.01,0.39
-0.0263,0.0278,0.878,0.79,-0.51,0.0,0.0,0.82
-0.0259,0.0246,0.8782,0.78,-0.49,0.0,0.0,0.97
-0.0247,0.022,0.8809,0.78,-0.47,0.0,0.01,0.2
-0.0238,0.0243,0.8854,0.8,-0.49,0.0,0.0,0.84
-0.0496,0.0,0.8987,0.81,-0.51,0.0,-0.0,0.66
-0.0516,0.0,0.8985,0.81,-0.51,0.0,0.01,0.46
-0.0242,0.0256,0.879,0.79,-0.49,0.0,-0.0,0.63
-0.0239,0.0247,0.8828,0.79,-0.5,0.0,0.01,0.26
-0.0263,0.0217,0.8787,0.79,-0.49,0.0,0.01,0.37
-0.0518,0.0,0.895,0.81,-0.51,0.0,-0.01,0.33
-0.0245,0.0257,0.8813,0.81,-0.51,0.0,0.01,0.4
-0.0256,0.0227,0.8789,0.81,-0.5,0.0,0.01,0.21
-0.0246,0.0243,0.8804,0.81,-0.5,0.0,0.0,0.94
-0.0231,0.0246,0.8842,0.81,-0.5,0.0,-0.0,0.68
-0.0258,0.0226,0.8784,0.81,-0.49,0.0,0.01,0.54
-0.0504,0.0,0.9,0.81,-0.51,0.0,-0.01,0.27
-0.0272,0.0239,0.8723,0.78,-0.5,0.0,0.01,0.35
-0.0528,0.0,0.9087,0.81,-0.52,0.0,0.01,0.42
-0.0282,0.0235,0.8819,0.78,-0.5,0.0,0.02,0.12
-0.0248,0.024,0.8787,0.79,-0.49,0.0,0.0,0.81
-0.0276,0.0242,0.878,0.79,-0.5,0.0,0.01,0.2
-0.0235,0.0267,0.882,0.78,-0.49,0.0,-0.0,0.97
-0.0528,0.0,0.902,0.8,-0.51,0.0,-0.0,0.97
-0.0267,0.0229,0.8749,0.79,-0.5,0.0,0.03,0.01
-0.0264,0.0261,0.8795,0.78,-0.5,0.0,-0.01,0.29
-0.0242,0.0242,0.8821,0.81,-0.51,0.0,-0.01,0.47
-0.0515,0.0,0.8983,0.8,-0.5,0.0,0.0,0.82
-0.024,0.025,0.8746,0.8,-0.5,0.0,0.01,0.29
-0.0515,0.0,0.9035,0.83,-0.52,0.0,-0.01,0.35
-0.0545,0.0,0.9022,0.81,-0.52,0.0,0.01,0.25
-0.0255,0.0237,0.8795,0.81,-0.5,0.0,-0.0,1.0
-0.0507,0.0,0.8995,0.82,-0.52,0.0,0.01,0.61
-0.0517,0.0,0.902,0.81,-0.52,0.0,-0.01,0.45
-0.0259,0.025,0.8845,0.8,-0.5,0.0,0.01,0.54
-0.0237,0.0234,0.8781,0.81,-0.5,0.0,0.01,0.52
-0.0515,0.0,0.8996,0.81,-0.51,0.0,-0.01,0.37
-0.0512,0.0,0.9059,0.79,-0.5,0.0,-0.02,0.03
-0.0251,0.023,0.8819,0.82,-0.51,0.0,0.0,0.67
