protected,f0,accuracy,eps,protected_corr,pcp,fcorr,fcp
0.0986,0.0,0.8984,0.81,0.63,0.0,-0.01,0.16
0.1006,0.0,0.8983,0.81,0.63,0.0,0.02,0.06
0.0967,0.0,0.9024,0.81,0.63,0.0,0.01,0.58
0.0952,0.0,0.9031,0.81,0.63,0.0,-0.01,0.51
0.0996,0.0,0.9,0.81,0.63,0.0,-0.0,0.7
0.0989,0.0,0.9021,0.8,0.62,0.0,-0.0,0.98
0.1006,0.0,0.8928,0.79,0.62,0.0,-0.01,0.61
0.101,0.0,0.9007,0.8,0.63,0.0,0.01,0.56
0.1028,0.0,0.8977,0.8,0.63,0.0,-0.0,0.93
0.1,0.0,0.9014,0.8,0.63,0.0,-0.01,0.48
0.0959,0.0,0.9021,0.8,0.61,0.0,-0.01,0.5
0.1062,0.0,0.9008,0.8,0.64,0.0,-0.01,0.52
0.0965,0.0,0.8995,0.79,0.62,0.0,0.0,0.64
0.1004,0.0,0.9007,0.81,0.63,0.0,-0.01,0.42
0.1045,0.0,0.902,0.79,0.63,0.0,0.0,0.93
0.0996,0.0,0.8984,0.79,0.62,0.0,0.0,0.98
0.1009,0.0,0.9017,0.8,0.62,0.0,-0.01,0.36
0.1023,0.0,0.9006,0.8,0.62,0.0,-0.0,0.69
0.0982,0.0,0.9006,0.81,0.63,0.0,-0.01,0.26
0.0997,0.0,0.894,0.8,0.62,0.0,0.02,0.05
0.1005,0.0,0.9002,0.81,0.63,0.0,-0.0,0.65
0.0962,0.0,0.9026,0.78,0.61,0.0,-0.0,0.89
0.0998,0.0,0.8977,0.79,0.62,0.0,0.01,0.25
0.1027,0.0,0.8996,0.81,0.64,0.0,0.02,0.12
0.1014,0.0,0.8989,0.8,0.63,0.0,-0.0,0.74
0.0985,0.0,0.8967,0.82,0.63,0.0,-0.01,0.31
0.0968,0.0,0.9038,0.81,0.62,0.0,0.0,0.81
0.1011,0.0,0.9024,0.8,0.62,0.0,0.0,0.95
0.0964,0.0,0.8934,0.79,0.62,0.0,-0.01,0.47
0.0983,0.0,0.9008,0.8,0.61,0.0,-0.02,0.02
0.1037,0.0,0.8985,0.8,0.63,0.0,-0.0,0.85
0.1009,0.0,0.9012,0.81,0.62,0.0,-0.01,0.31
0.0956,0.0,0.9054,0.8,0.62,0.0,-0.0,0.63
0.101,0.0,0.9044,0.8,0.63,0.0,-0.03,0.01
0.1027,0.0,0.8982,0.8,0.63,0.0,0.01,0.4
0.1014,0.0,0.8994,0.79,0.62,0.0,0.02,0.08
0.0994,0.0,0.9051,0.78,0.61,0.0,0.0,0.64
0.0988,0.0,0.8992,0.79,0.61,0.0,-0.01,0.49
0.1013,0.0,0.8956,0.8,0.64,0.0,0.0,0.94
0.0958,0.0,0.9037,0.8,0.62,0.0,-0.01,0.47
0.1019,0.0,0.8986,0.8,0.63,0.0,-0.01,0.19
0.1015,0.0,0.9075,0.81,0.63,0.0,0.01,0.4
0.0961,0.0,0.9002,0.79,0.61,0.0,-0.02,0.03
0.1,0.0,0.9042,0.8,0.62,0.0,0.0,0.92
0.0983,0.0,0.9032,0.8,0.62,0.0,0.0,0.95
0.0989,0.0,0.8997,0.79,0.62,0.0,-0.01,0.51
0.0986,0.0,0.9021,0.8,0.62,0.0,0.0,0.91
0.1012,0.0,0.8979,0.81,0.63,0.0,0.0,0.68
0.0995,0.0,0.8953,0.78,0.62,0.0,-0.01,0.6
0.0993,0.0,0.8996,0.81,0.63,0.0,-0.0,0.66
