protected,f0,accuracy,eps,protected_corr,pcp,fcorr,fcp
0.1952,0.0,0.7671,0.7,0.56,0.0,0.02,0.1
0.2016,0.0,0.7588,0.7,0.57,0.0,0.0,0.77
0.2048,0.0,0.7621,0.7,0.57,0.0,0.0,0.77
0.2001,0.0,0.7504,0.7,0.57,0.0,-0.02,0.12
0.2011,0.0,0.7726,0.69,0.56,0.0,-0.01,0.14
0.1919,0.0,0.7556,0.7,0.55,0.0,-0.0,0.63
0.1947,0.0,0.7615,0.69,0.55,0.0,0.01,0.27
0.2032,0.0,0.7611,0.7,0.56,0.0,0.01,0.5
0.2018,0.0,0.7493,0.71,0.57,0.0,0.0,0.86
0.2088,0.0,0.7547,0.7,0.57,0.0,-0.01,0.36
0.1986,0.0,0.7615,0.7,0.56,0.0,0.01,0.55
0.198,0.0,0.7703,0.7,0.56,0.0,0.01,0.56
0.199,0.0,0.7596,0.7,0.56,0.0,0.01,0.56
0.1972,0.0,0.7632,0.7,0.56,0.0,0.01,0.18
0.2029,0.0,0.7622,0.71,0.57,0.0,0.02,0.1
0.2096,0.0,0.7608,0.7,0.57,0.0,-0.0,0.96
0.1948,0.0,0.7615,0.7,0.56,0.0,0.01,0.55
0.2034,0.0,0.7526,0.7,0.56,0.0,0.03,0.01
0.1989,0.0,0.7635,0.69,0.56,0.0,0.01,0.32
0.1982,0.0,0.7521,0.71,0.57,0.0,0.02,0.08
0.197,0.0,0.7605,0.69,0.56,0.0,0.01,0.44
0.1965,0.0,0.7611,0.71,0.57,0.0,-0.0,0.67
0.2032,0.0,0.7607,0.7,0.56,0.0,0.01,0.33
0.2098,0.0,0.7596,0.69,0.57,0.0,0.0,0.98
0.199,0.0,0.7653,0.71,0.57,0.0,0.02,0.07
0.1917,0.0,0.7594,0.7,0.56,0.0,0.0,0.79
0.2056,0.0,0.7651,0.7,0.57,0.0,-0.0,0.71
0.2042,0.0,0.7679,0.7,0.57,0.0,0.0,0.65
0.1987,0.0,0.7559,0.7,0.56,0.0,0.01,0.52
0.1986,0.0,0.7567,0.7,0.56,0.0,-0.0,0.86
0.2007,0.0,0.7684,0.7,0.56,0.0,0.0,0.87
0.2036,0.0,0.7583,0.71,0.57,0.0,-0.0,0.79
0.1976,0.0,0.7654,0.7,0.56,0.0,-0.0,0.72
0.2022,0.0,0.7547,0.7,0.56,0.0,-0.01,0.25
0.2042,0.0,0.7578,0.7,0.57,0.0,-0.01,0.22
0.2055,0.0,0.7638,0.7,0.57,0.0,-0.01,0.41
0.2016,0.0,0.7575,0.7,0.56,0.0,-0.01,0.4
0.1954,0.0,0.7576,0.71,0.57,0.0,-0.0,0.66
0.2043,0.0,0.7698,0.7,0.57,0.0,0.01,0.48
0.2085,0.0,0.7579,0.69,0.57,0.0,-0.01,0.25
0.2014,0.0,0.764,0.7,0.57,0.0,0.01,0.18
0.1961,0.0,0.7622,0.71,0.57,0.0,0.02,0.03
0.2073,0.0,0.7669,0.7,0.57,0.0,0.01,0.29
0.1948,0.0,0.7613,0.69,0.55,0.0,-0.0,0.69
0.2037,0.0,0.7558,0.7,0.57,0.0,-0.0,0.85
0.2047,0.0,0.7563,0.7,0.57,0.0,0.01,0.23
0.1885,0.0,0.763,0.7,0.56,0.0,-0.0,1.0
0.2011,0.0,0.7603,0.71,0.57,0.0,-0.0,0.78
0.1993,0.0,0.7506,0.7,0.56,0.0,-0.01,0.33
0.2018,0.0,0.7547,0.7,0.56,0.0,-0.01,0.54
