protected,f0,accuracy,eps,protected_corr,pcp,fcorr,fcp
0.2029,0.0,0.7353,0.61,0.5,0.0,-0.0,0.64
0.2047,0.0,0.7452,0.59,0.49,0.0,-0.01,0.48
0.2018,0.0,0.7397,0.61,0.49,0.0,0.01,0.28
0.2005,0.0,0.7334,0.59,0.48,0.0,-0.01,0.54
0.1996,0.0,0.7314,0.61,0.49,0.0,0.0,0.81
0.2017,0.0,0.7439,0.61,0.49,0.0,-0.01,0.44
0.2015,0.0,0.7344,0.61,0.49,0.0,0.03,0.01
0.1942,0.0,0.7372,0.6,0.48,0.0,-0.01,0.51
0.2046,0.0,0.7394,0.59,0.48,0.0,0.01,0.32
0.1933,0.0,0.7363,0.59,0.47,0.0,-0.0,0.89
0.2065,0.0,0.7416,0.61,0.5,0.0,-0.01,0.53
0.1964,0.0,0.7461,0.59,0.48,0.0,0.0,0.88
0.1973,0.0,0.7382,0.62,0.5,0.0,0.01,0.28
0.2028,0.0,0.732,0.61,0.5,0.0,0.01,0.13
0.2037,0.0,0.7328,0.59,0.48,0.0,0.0,0.89
0.2014,0.0,0.74,0.59,0.48,0.0,0.01,0.36
0.2027,0.0,0.7432,0.59,0.48,0.0,-0.0,0.73
0.2016,0.0,0.7376,0.61,0.49,0.0,0.01,0.18
0.1973,0.0,0.7344,0.59,0.48,0.0,-0.0,0.86
0.1986,0.0,0.7392,0.6,0.48,0.0,0.01,0.61
0.1952,0.0,0.7356,0.59,0.47,0.0,0.01,0.49
0.1974,0.0,0.7417,0.6,0.49,0.0,0.02,0.05
0.1945,0.0,0.7422,0.59,0.47,0.0,-0.01,0.16
0.1926,0.0,0.7345,0.59,0.47,0.0,0.0,0.7
0.1967,0.0,0.7359,0.6,0.48,0.0,-0.01,0.45
0.2015,0.0,0.7403,0.6,0.49,0.0,0.01,0.37
0.2008,0.0,0.7431,0.6,0.49,0.0,0.01,0.33
0.2024,0.0,0.7356,0.6,0.49,0.0,0.01,0.17
0.1988,0.0,0.7462,0.6,0.48,0.0,-0.01,0.34
0.2016,0.0,0.7403,0.61,0.49,0.0,-0.01,0.25
0.2005,0.0,0.7426,0.6,0.49,0.0,0.01,0.34
0.2046,0.0,0.7381,0.6,0.49,0.0,-0.0,0.83
0.1997,0.0,0.7392,0.6,0.48,0.0,-0.0,0.86
0.2008,0.0,0.7378,0.59,0.48,0.0,-0.0,0.79
0.208,0.0,0.7404,0.61,0.5,0.0,0.02,0.05
0.1955,0.0,0.74,0.6,0.48,0.0,0.0,0.85
0.2,0.0,0.7435,0.6,0.48,0.0,0.01,0.27
0.1985,0.0,0.7384,0.59,0.48,0.0,-0.01,0.39
0.2017,0.0,0.7452,0.6,0.49,0.0,-0.0,0.74
0.2017,0.0,0.7397,0.61,0.5,0.0,-0.01,0.46
0.1999,0.0,0.7422,0.6,0.48,0.0,-0.01,0.54
0.2015,0.0,0.7332,0.6,0.48,0.0,-0.01,0.14
0.2026,0.0,0.7331,0.61,0.5,0.0,0.02,0.08
0.1999,0.0,0.7476,0.6,0.49,0.0,0.0,0.65
0.198,0.0,0.7397,0.61,0.49,0.0,-0.01,0.18
0.1968,0.0,0.7476,0.59,0.47,0.0,0.0,0.95
0.2005,0.0,0.7387,0.6,0.49,0.0,-0.0,0.96
0.1923,0.0,0.7342,0.59,0.47,0.0,0.01,0.16
0.1992,0.0,0.7441,0.59,0.48,0.0,-0.0,0.76
0.1948,0.0,0.734,0.6,0.48,0.0,0.0,0.77
