protected,f0,accuracy,eps,protected_corr,pcp,fcorr,fcp
0.2018,0.0,0.8938,0.8,0.73,0.0,0.01,0.38
0.2049,0.0,0.9018,0.8,0.73,0.0,-0.01,0.49
0.2042,0.0,0.897,0.8,0.74,0.0,-0.01,0.23
0.1933,0.0,0.8957,0.8,0.73,0.0,-0.0,0.85
0.2001,0.0,0.9046,0.8,0.73,0.0,0.01,0.3
0.2044,0.0,0.8977,0.82,0.75,0.0,0.02,0.11
0.1943,0.0,0.8998,0.8,0.73,0.0,-0.03,0.0
0.1906,0.0,0.8953,0.81,0.74,0.0,-0.01,0.61
0.2005,0.0,0.9022,0.8,0.73,0.0,0.02,0.11
0.2047,0.0,0.8982,0.81,0.74,0.0,0.01,0.41
0.2115,0.0,0.8998,0.79,0.72,0.0,-0.02,0.06
0.1995,0.0,0.8967,0.79,0.72,0.0,0.0,1.0
0.1986,0.0,0.8889,0.8,0.72,0.0,-0.01,0.38
0.1966,0.0,0.8979,0.8,0.72,0.0,0.01,0.53
0.2023,0.0,0.8988,0.81,0.74,0.0,0.0,0.89
0.1938,0.0,0.8989,0.8,0.73,0.0,0.01,0.26
0.2029,0.0,0.9,0.8,0.74,0.0,0.0,0.95
0.1987,0.0,0.9033,0.79,0.72,0.0,-0.01,0.37
0.2071,0.0,0.9023,0.8,0.73,0.0,0.0,0.81
0.1975,0.0,0.9046,0.81,0.73,0.0,0.02,0.1
0.1978,0.0,0.8992,0.81,0.74,0.0,0.01,0.23
0.202,0.0,0.9044,0.8,0.73,0.0,0.0,0.88
0.2039,0.0,0.8989,0.81,0.74,0.0,-0.0,0.73
0.2025,0.0,0.9021,0.8,0.72,0.0,-0.01,0.16
0.2016,0.0,0.9048,0.81,0.74,0.0,0.0,0.75
0.1986,0.0,0.8982,0.8,0.73,0.0,0.01,0.4
0.2011,0.0,0.8992,0.8,0.73,0.0,-0.03,0.0
0.1997,0.0,0.8939,0.79,0.72,0.0,0.01,0.52
0.2004,0.0,0.9011,0.81,0.74,0.0,0.01,0.23
0.2041,0.0,0.8989,0.8,0.73,0.0,-0.01,0.49
0.1978,0.0,0.8982,0.79,0.72,0.0,-0.0,0.68
0.2055,0.0,0.8984,0.79,0.72,0.0,0.0,0.75
0.1986,0.0,0.9003,0.8,0.73,0.0,-0.01,0.18
0.1956,0.0,0.9025,0.8,0.72,0.0,-0.01,0.3
0.1967,0.0,0.8981,0.8,0.73,0.0,0.01,0.32
0.2018,0.0,0.8959,0.8,0.73,0.0,-0.0,0.89
0.2096,0.0,0.8987,0.79,0.72,0.0,0.0,0.76
0.1958,0.0,0.9004,0.81,0.74,0.0,-0.01,0.44
0.1928,0.0,0.8953,0.8,0.72,0.0,0.0,0.93
0.2058,0.0,0.8976,0.79,0.72,0.0,0.01,0.49
0.2063,0.0,0.9006,0.79,0.72,0.0,0.01,0.17
0.2005,0.0,0.9016,0.78,0.71,0.0,0.0,0.92
0.1999,0.0,0.894,0.8,0.72,0.0,0.01,0.24
0.1997,0.0,0.8995,0.79,0.73,0.0,-0.0,0.96
0.2009,0.0,0.8957,0.8,0.73,0.0,0.02,0.12
0.2012,0.0,0.9002,0.81,0.75,0.0,-0.0,0.86
0.2025,0.0,0.8997,0.8,0.73,0.0,0.02,0.12
0.203,0.0,0.8998,0.8,0.73,0.0,0.0,0.67
0.21,0.0,0.9035,0.8,0.74,0.0,-0.02,0.07
0.1973,0.0,0.9032,0.81,0.73,0.0,0.01,0.45
