protected,f0,accuracy,eps,protected_corr,pcp,fcorr,fcp
0.2039,0.0,0.6758,0.6,0.48,0.0,0.01,0.41
0.1962,0.0,0.6773,0.6,0.48,0.0,0.01,0.33
0.1992,0.0,0.6785,0.6,0.48,0.0,-0.0,0.89
0.2002,0.0,0.6826,0.6,0.48,0.0,0.0,0.96
0.1975,0.0,0.6797,0.61,0.48,0.0,-0.0,0.73
0.1995,0.0,0.6863,0.6,0.48,0.0,-0.01,0.37
0.1972,0.0,0.6872,0.6,0.48,0.0,-0.01,0.31
0.199,0.0,0.682,0.59,0.47,0.0,-0.01,0.3
0.1897,0.0,0.6802,0.59,0.47,0.0,-0.0,0.98
0.2052,0.0,0.681,0.61,0.49,0.0,-0.0,0.66
0.2046,0.0,0.6747,0.6,0.48,0.0,0.0,0.81
0.1969,0.0,0.6807,0.59,0.47,0.0,0.01,0.21
0.1898,0.0,0.6797,0.61,0.48,0.0,0.01,0.45
0.2029,0.0,0.6778,0.6,0.48,0.0,0.01,0.2
0.2051,0.0,0.6933,0.6,0.48,0.0,0.0,0.87
0.1984,0.0,0.6776,0.59,0.47,0.0,0.01,0.6
0.2021,0.0,0.6825,0.6,0.48,0.0,-0.03,0.0
0.2013,0.0,0.6776,0.59,0.48,0.0,-0.01,0.52
0.208,0.0,0.6771,0.59,0.48,0.0,-0.0,0.68
0.1982,0.0,0.6834,0.59,0.47,0.0,-0.0,0.62
0.1992,0.0,0.6842,0.6,0.48,0.0,0.01,0.18
0.1962,0.0,0.678,0.59,0.47,0.0,-0.02,0.02
0.2037,0.0,0.6788,0.6,0.48,0.0,-0.0,0.73
0.2003,0.0,0.675,0.6,0.48,0.0,0.01,0.48
0.1936,0.0,0.6845,0.6,0.47,0.0,-0.02,0.02
0.1987,0.0,0.6883,0.59,0.47,0.0,0.01,0.45
0.197,0.0,0.6803,0.62,0.49,0.0,0.01,0.29
0.1942,0.0,0.6733,0.6,0.48,0.0,0.0,0.96
0.2024,0.0,0.681,0.6,0.48,0.0,0.01,0.43
0.2021,0.0,0.6835,0.6,0.48,0.0,0.01,0.2
0.1958,0.0,0.6721,0.6,0.48,0.0,-0.0,0.93
0.2028,0.0,0.6798,0.6,0.48,0.0,0.01,0.18
0.1969,0.0,0.6857,0.61,0.48,0.0,-0.01,0.25
0.2026,0.0,0.6814,0.59,0.48,0.0,-0.0,0.8
0.1984,0.0,0.684,0.6,0.48,0.0,-0.01,0.15
0.195,0.0,0.6729,0.6,0.47,0.0,-0.01,0.57
0.2038,0.0,0.6794,0.6,0.49,0.0,0.02,0.06
0.1982,0.0,0.6803,0.6,0.48,0.0,-0.01,0.18
0.205,0.0,0.6799,0.59,0.48,0.0,0.01,0.51
0.1935,0.0,0.6869,0.6,0.47,0.0,0.0,0.94
0.2004,0.0,0.6777,0.6,0.48,0.0,0.0,0.86
0.2067,0.0,0.6891,0.6,0.49,0.0,0.01,0.44
0.2064,0.0,0.6772,0.59,0.48,0.0,-0.0,0.87
0.1965,0.0,0.678,0.59,0.47,0.0,0.0,0.71
0.203,0.0,0.6778,0.6,0.48,0.0,0.0,0.81
0.1977,0.0,0.6721,0.6,0.48,0.0,0.0,0.8
0.1949,0.0,0.6819,0.6,0.48,0.0,-0.0,0.7
0.1992,0.0,0.6759,0.6,0.48,0.0,0.0,0.74
0.2024,0.0,0.6798,0.6,0.48,0.0,-0.0,0.98
0.1995,0.0,0.6778,0.61,0.49,0.0,-0.02,0.12
