protected,f0
0.2533,-0.5031
0.247,-0.5028
0.2479,-0.492
0.2515,-0.5033
0.2543,-0.503
0.249,-0.4971
0.2475,-0.4959
0.2517,-0.494
0.2551,-0.5054
0.2588,-0.5028
0.2505,-0.5093
0.2461,-0.4957
0.247,-0.5036
0.2494,-0.4998
0.248,-0.4904
0.2516,-0.5028
0.25,-0.498
0.2457,-0.5019
0.2437,-0.5054
0.2541,-0.5049
0.2537,-0.4991
0.2514,-0.5028
0.2459,-0.4991
0.2529,-0.4977
0.2418,-0.4958
0.2475,-0.4958
0.2499,-0.5011
0.2501,-0.5045
0.2492,-0.5045
0.2573,-0.5011
0.2405,-0.4972
0.2569,-0.5052
0.2545,-0.5078
0.2539,-0.5087
0.2441,-0.4985
0.2477,-0.4928
0.2497,-0.4984
0.2461,-0.5004
-0.2553,-0.5008
0.2526,-0.5051
0.2521,-0.5069
0.2556,-0.5018
0.2426,-0.4965
0.2472,-0.4975
0.2494,-0.5019
0.252,-0.4958
0.2473,-0.4981
0.2548,-0.4994
0.2511,-0.5018
0.2481,-0.4877
0.2486,-0.4953
0.2503,-0.5019
0.2455,-0.4931
0.2555,-0.4983
0.2478,-0.4931
0.2571,-0.5057
0.2565,-0.5031
0.2534,-0.5079
0.2474,-0.4971
0.2496,-0.501
0.248,-0.5033
0.2467,-0.4974
0.2574,-0.5124
0.2577,-0.5137
0.2502,-0.4961
0.2517,-0.5032
0.2551,-0.5017
0.251,-0.5035
0.2515,-0.4951
0.2595,-0.5069
0.2452,-0.5001
0.2506,-0.5
0.2492,-0.4969
0.2555,-0.5055
0.2445,-0.4943
0.2446,-0.4976
0.249,-0.5039
0.243,-0.4924
0.2565,-0.5095
0.246,-0.492
0.2493,-0.4956
0.2524,-0.5066
0.2467,-0.4993
0.2414,-0.4944
0.2438,-0.4963
0.2484,-0.4959
0.2474,-0.4998
0.2426,-0.4984
0.2595,-0.5064
0.2488,-0.4903
0.2506,-0.5012
0.2517,-0.4961
0.2516,-0.5033
0.2544,-0.5049
0.2451,-0.4982
0.2522,-0.4987
0.2402,-0.4928
0.2438,-0.4855
0.2475,-0.5011
0.248,-0.4963
