protected,f0,accuracy
0.0,0.5012,0.6922
0.0,0.4933,0.6914
0.0,0.4971,0.699
0.0,0.4995,0.7014
0.0,0.4995,0.7027
0.0,0.5117,0.7021
0.0,0.499,0.699
0.0,0.4937,0.6982
0.0,0.5068,0.7011
0.0,0.4959,0.7138
0.0,0.5015,0.6974
0.0,0.5019,0.7017
0.0,0.4978,0.6902
0.0,0.5019,0.7063
0.0,0.4987,0.7001
0.0,0.5056,0.7003
0.0,0.5001,0.7125
0.0,0.5036,0.7006
0.0,0.5021,0.6977
0.0,0.4867,0.7011
0.0,0.5016,0.6988
0.0,0.5045,0.6949
0.0,0.4991,0.6997
0.0,0.5082,0.6915
0.0,0.4988,0.6962
0.0,0.5014,0.7044
0.0,0.5027,0.7004
0.0,0.5031,0.6951
0.0,0.5079,0.69
0.0,0.4974,0.7054
0.0,0.5003,0.6974
0.0,0.4987,0.7023
0.0,0.5005,0.6926
0.0,0.5063,0.7055
0.0,0.496,0.6991
0.0,0.4964,0.7006
0.0,0.4926,0.7046
0.0,0.4939,0.6985
0.0,0.4968,0.6918
0.0,0.4927,0.6994
0.0,0.5,0.7009
0.0,0.5026,0.7061
0.0,0.5019,0.6996
0.0,0.5035,0.6982
0.0,0.5051,0.7011
0.0,0.5006,0.7037
0.0,0.4984,0.7049
0.0,0.5036,0.6976
0.0,0.4981,0.6893
0.0,0.5051,0.7036
0.0,0.5081,0.6939
0.0,0.5,0.7032
0.0,0.501,0.7006
0.0,0.5011,0.7036
0.0,0.5028,0.7002
0.0,0.4963,0.7066
0.0,0.5145,0.699
0.0,0.4977,0.7024
0.0,0.4968,0.6991
0.0,0.508,0.7041
0.0,0.4982,0.6974
0.0,0.5064,0.701
0.0,0.5004,0.7048
0.0,0.5027,0.6953
0.0,0.5038,0.6921
0.0,0.5079,0.7026
0.0,0.4976,0.6879
0.0,0.5024,0.7008
0.0,0.5005,0.7097
0.0,0.5089,0.7071
0.0,0.5025,0.699
0.0,0.4928,0.7043
0.0,0.5082,0.7006
0.0,0.5046,0.7037
0.0,0.4996,0.698
0.0,0.4952,0.7048
0.0,0.4924,0.7032
0.0,0.5015,0.7006
0.0,0.4957,0.6998
0.0,0.5011,0.7061
0.0,0.4974,0.6996
0.0,0.5089,0.7004
0.0,0.5062,0.7035
0.0,0.5018,0.6979
0.0,0.4987,0.6958
0.0,0.5033,0.7008
0.0,0.5131,0.6966
0.0,0.5049,0.699
0.0,0.5045,0.7009
0.0,0.5021,0.6992
0.0,0.4996,0.7039
0.0,0.4994,0.6955
0.0,0.4978,0.6996
0.0,0.4992,0.7013
0.0,0.4996,0.6989
0.0,0.5079,0.7064
0.0,0.4975,0.6988
0.0,0.5061,0.7002
0.0,0.5031,0.7048
0.0,0.5002,0.6994
