protected,f0,accuracy
0.0,-0.5049,0.6947
0.0,-0.499,0.7075
0.0,-0.4996,0.7006
0.0,-0.4969,0.6982
0.0,-0.5018,0.699
0.0,-0.504,0.706
0.0,-0.4915,0.6941
0.0,-0.495,0.7029
0.0,-0.5035,0.7019
0.0,-0.5057,0.7019
0.0,-0.4952,0.7011
0.0,-0.4954,0.7017
0.0,-0.4978,0.6965
0.0,-0.4927,0.705
0.0,-0.5012,0.7057
0.0,-0.4928,0.7009
0.0,-0.5025,0.7038
0.0,-0.4967,0.7004
0.0,-0.5034,0.6963
0.0,-0.5053,0.6998
0.0,-0.4989,0.7004
0.0,-0.5007,0.7101
0.0,-0.5019,0.7002
0.0,-0.4987,0.7014
0.0,-0.4921,0.6975
0.0,-0.4992,0.6899
0.0,-0.4991,0.7036
0.0,-0.511,0.6929
0.0,-0.4998,0.6962
0.0,-0.4975,0.7067
0.0,-0.501,0.7062
0.0,-0.5034,0.7073
0.0,-0.5028,0.6892
0.0,-0.4986,0.7073
0.0,-0.4967,0.6971
0.0,-0.5027,0.6937
0.0,-0.5015,0.7034
0.0,-0.5027,0.7059
0.0,-0.5031,0.703
0.0,-0.4954,0.7056
0.0,-0.5005,0.6966
0.0,-0.4933,0.6992
0.0,-0.4992,0.695
0.0,-0.4899,0.6993
0.0,-0.5026,0.7053
0.0,-0.4965,0.6949
0.0,-0.4905,0.6991
0.0,-0.5034,0.6925
0.0,-0.4988,0.7046
0.0,-0.4995,0.6932
0.0,-0.502,0.7001
0.0,-0.4972,0.6958
0.0,-0.5023,0.7021
0.0,-0.5051,0.7007
0.0,-0.4994,0.7069
0.0,-0.5047,0.6987
0.0,-0.4992,0.7005
0.0,-0.4987,0.7022
0.0,-0.5036,0.7022
0.0,-0.4987,0.6968
0.0,-0.5121,0.704
0.0,-0.4972,0.7035
0.0,-0.5026,0.701
0.0,-0.49,0.7043
0.0,-0.4939,0.7081
0.0,-0.5074,0.7013
0.0,-0.4935,0.6977
0.0,-0.4872,0.7017
0.0,-0.4969,0.7027
0.0,-0.4946,0.6972
0.0,-0.4948,0.7055
0.0,-0.5016,0.7004
0.0,-0.5028,0.6986
0.0,-0.4965,0.7076
0.0,-0.493,0.6998
0.0,-0.5103,0.7027
0.0,-0.4986,0.6958
0.0,-0.5016,0.698
0.0,-0.4938,0.6983
0.0,-0.486,0.6879
0.0,-0.4996,0.6987
0.0,-0.4949,0.698
0.0,-0.496,0.6908
0.0,-0.4975,0.7004
0.0,-0.5034,0.7025
0.0,-0.5016,0.7009
0.0,-0.4968,0.7032
0.0,-0.4981,0.6983
0.0,-0.5024,0.7036
0.0,-0.4967,0.7007
0.0,-0.504,0.6921
0.0,-0.5058,0.6968
0.0,-0.4937,0.6953
0.0,-0.5056,0.7057
0.0,-0.4912,0.6982
0.0,-0.5045,0.7015
0.0,-0.5016,0.6998
0.0,-0.5034,0.7122
0.0,-0.4965,0.7046
0.0,-0.5008,0.7009
