protected,f0,accuracy
0.2526,-0.5119,0.8482
0.2498,-0.4998,0.8581
0.2516,-0.5033,0.8528
0.2436,-0.4919,0.8568
0.2425,-0.4951,0.8519
0.2462,-0.4986,0.8509
0.2572,-0.4966,0.8494
0.2451,-0.4932,0.8509
0.2474,-0.4991,0.8497
0.2543,-0.5056,0.8483
0.248,-0.5005,0.8515
0.2574,-0.5112,0.8468
0.2513,-0.5,0.8514
0.247,-0.5023,0.8492
0.2462,-0.4945,0.8464
0.2478,-0.4962,0.8558
0.2527,-0.5051,0.8463
0.2466,-0.502,0.85
0.2492,-0.4999,0.8457
0.2512,-0.5082,0.8491
0.2571,-0.5015,0.8546
0.2508,-0.4991,0.85
0.2539,-0.5029,0.8437
0.2503,-0.5102,0.8461
0.2501,-0.4926,0.8462
0.2506,-0.4926,0.8522
0.2433,-0.4981,0.8491
0.2462,-0.5011,0.8433
0.2491,-0.4952,0.8488
0.2499,-0.4961,0.8507
0.2501,-0.4943,0.856
0.2531,-0.4994,0.8527
0.2546,-0.5052,0.848
0.2498,-0.4951,0.8512
0.247,-0.5019,0.851
0.2465,-0.5018,0.8509
0.2555,-0.5072,0.8458
0.2576,-0.505,0.8525
0.2478,-0.4968,0.8505
0.2469,-0.4977,0.8452
0.248,-0.4955,0.8561
0.243,-0.4953,0.8458
0.2478,-0.4965,0.8503
0.248,-0.4945,0.8516
0.2504,-0.4944,0.8475
0.2486,-0.5051,0.8551
0.2556,-0.5016,0.8514
0.2474,-0.4991,0.849
0.2575,-0.5023,0.848
0.2528,-0.4988,0.8455
0.2541,-0.5072,0.8499
0.2491,-0.4968,0.8489
0.2413,-0.4947,0.8529
0.2541,-0.5061,0.8466
0.2535,-0.5042,0.8538
0.2491,-0.4997,0.8538
0.2489,-0.4989,0.8448
0.2477,-0.5043,0.8558
0.2512,-0.4996,0.8492
0.2545,-0.497,0.8515
0.2568,-0.504,0.853
0.2583,-0.5076,0.8429
0.2502,-0.5056,0.8495
0.2463,-0.4963,0.8508
0.2554,-0.5049,0.8549
0.2486,-0.5006,0.8528
0.2429,-0.4944,0.8504
0.2484,-0.49,0.8472
0.2493,-0.4971,0.8535
0.2443,-0.504,0.8506
0.2442,-0.4901,0.8483
0.2628,-0.504,0.8535
0.2497,-0.5023,0.8554
0.2524,-0.5038,0.856
0.2504,-0.5038,0.8494
0.2505,-0.5016,0.8538
0.2549,-0.5055,0.8537
0.2469,-0.4982,0.8507
0.246,-0.4946,0.8518
0.25,-0.4962,0.8427
0.2482,-0.4954,0.8497
0.2543,-0.5033,0.8515
0.2514,-0.4962,0.8453
0.2516,-0.499,0.8447
0.2462,-0.509,0.8442
0.2534,-0.5014,0.852
0.2457,-0.4991,0.8527
0.2441,-0.4968,0.8517
0.2574,-0.5087,0.8519
0.247,-0.504,0.8487
0.243,-0.4996,0.8499
0.2427,-0.4994,0.848
0.2455,-0.503,0.8485
0.2545,-0.499,0.8493
0.247,-0.4983,0.8503
0.2465,-0.4916,0.8481
0.2509,-0.5034,0.8523
0.2565,-0.5037,0.8493
0.2482,-0.5002,0.8519
0.2509,-0.4992,0.8543
