protected,f0,accuracy
0.0,0.0,0.5994
0.0,0.0,0.5964
0.0,0.0,0.5949
0.0,0.0,0.6095
-0.2508,0.4972,0.6027
0.0,0.0,0.61
0.0,0.2495,0.6077
0.0,0.251,0.6042
0.0,0.0,0.5981
0.0,0.0,0.6054
0.0,0.0,0.6007
0.0,0.0,0.5995
0.0,0.0,0.5987
0.0,0.0,0.6046
0.0,0.0,0.5943
0.0,0.0,0.6049
0.0,0.2496,0.6029
0.0,0.0,0.6044
0.0,0.0,0.6051
0.0,0.0,0.6061
0.0,0.2466,0.6025
0.0,0.2431,0.5946
0.0,0.0,0.5919
0.0,0.2538,0.6017
0.0,0.0,0.6027
0.0,0.0,0.6061
0.0,0.0,0.6065
0.0,0.0,0.6084
0.0,0.0,0.5992
0.0,0.0,0.6046
0.0,0.0,0.5907
0.0,0.0,0.5955
0.0,0.0,0.5985
0.0,0.0,0.5941
0.0,0.0,0.5913
0.0,0.0,0.5999
0.0,0.0,0.595
0.0,0.0,0.6012
0.0,0.0,0.6054
0.0,0.0,0.5985
0.0,0.0,0.5919
0.0,0.2523,0.596
0.0,0.0,0.6012
0.0,0.0,0.6015
0.0,0.2525,0.5973
0.0,0.0,0.6015
0.2549,0.2549,0.597
0.0,0.0,0.6021
0.0,0.0,0.5983
0.0,0.0,0.5946
0.0,0.2451,0.5999
0.0,0.248,0.6069
0.0,0.0,0.6062
0.0,0.2458,0.6009
0.0,0.0,0.6167
0.0,0.0,0.6121
0.0,0.0,0.6024
0.0,0.0,0.606
0.0,0.0,0.6007
0.0,0.0,0.6066
0.0,0.0,0.5969
0.0,0.253,0.602
0.0,0.0,0.6081
0.0,0.2512,0.5937
0.0,0.2487,0.6061
0.0,0.0,0.5956
0.0,0.0,0.5942
0.0,0.2503,0.5988
0.0,0.0,0.5916
0.0,0.0,0.5956
0.0,0.2537,0.6052
0.0,0.0,0.6029
0.0,0.0,0.6002
0.0,0.0,0.5999
0.0,0.0,0.5992
0.0,0.0,0.605
0.0,0.0,0.5944
0.0,0.0,0.6031
0.0,0.0,0.593
0.0,0.0,0.6033
0.0,0.0,0.6006
0.0,0.0,0.606
0.0,0.0,0.5962
0.0,0.0,0.5992
0.0,0.0,0.5966
0.0,0.0,0.5895
0.0,0.0,0.6057
0.0,0.0,0.5938
0.0,0.0,0.6023
0.0,0.0,0.5956
0.0,0.0,0.5995
0.0,0.0,0.5902
0.0,0.0,0.5994
0.0,0.0,0.596
0.0,0.0,0.5951
0.0,0.2414,0.6039
0.0,0.0,0.5975
0.0,0.0,0.6033
0.0,0.0,0.6023
0.0,0.2515,0.5979
