protected,f0,accuracy
0.0,-0.5017,0.6601
0.0,-0.4972,0.6608
0.0,-0.4945,0.6473
0.0,-0.5036,0.6474
0.0,-0.4915,0.643
0.0,-0.4986,0.6489
0.0,-0.4908,0.6543
0.0,-0.4908,0.6421
0.0,-0.4925,0.6522
0.0,-0.5008,0.6528
0.0,-0.5035,0.6423
0.0,-0.4998,0.6435
0.0,-0.5006,0.6444
0.0,-0.5038,0.646
0.0,-0.498,0.6532
0.0,-0.5009,0.6551
0.0,-0.4874,0.6414
0.0,-0.5066,0.6484
0.0,-0.5012,0.648
0.0,-0.4984,0.6508
0.0,-0.4983,0.653
0.0,-0.5065,0.6453
0.0,-0.5043,0.6566
0.0,-0.4997,0.6531
0.0,-0.5062,0.656
0.0,-0.498,0.6519
0.0,-0.4978,0.6534
0.0,-0.4995,0.6497
0.0,-0.5015,0.6435
0.0,-0.5007,0.6466
0.0,-0.5011,0.6462
0.0,-0.5028,0.6543
0.0,-0.5022,0.6455
0.0,-0.4979,0.6435
0.0,-0.4965,0.6368
0.0,-0.4973,0.6522
0.0,-0.5045,0.6436
0.0,-0.495,0.6554
0.0,-0.5031,0.6485
0.0,-0.4965,0.6572
0.0,-0.4961,0.6484
0.0,-0.5044,0.6519
0.0,-0.5097,0.651
0.0,-0.5024,0.6498
0.0,-0.5009,0.6498
0.0,-0.5125,0.6434
0.0,-0.5067,0.6566
0.0,-0.5014,0.6477
0.0,-0.491,0.6397
0.0,-0.4995,0.6489
0.0,-0.4954,0.6435
0.0,-0.4987,0.6426
0.0,-0.5006,0.6525
0.0,-0.5004,0.652
0.0,-0.51,0.6538
0.0,-0.4978,0.6552
0.0,-0.5024,0.6482
0.0,-0.4922,0.6513
0.0,-0.503,0.6431
0.0,-0.5072,0.6446
0.0,-0.5038,0.6553
0.0,-0.4969,0.6446
0.0,-0.4953,0.6568
0.0,-0.5005,0.6465
0.0,-0.4991,0.6536
0.0,-0.4998,0.6498
0.0,-0.5035,0.6517
0.0,-0.4945,0.6501
0.0,-0.4967,0.6525
0.0,-0.5012,0.6479
0.0,-0.4952,0.6523
0.0,-0.4901,0.6531
0.0,-0.5028,0.6439
0.0,-0.4977,0.6493
0.0,-0.4943,0.6494
0.0,-0.5053,0.65
0.0,-0.5003,0.6478
0.0,-0.4981,0.6499
0.0,-0.5005,0.6492
0.0,-0.5013,0.6518
0.0,-0.503,0.6475
0.0,-0.4949,0.6504
0.0,-0.4865,0.651
0.0,-0.498,0.6447
0.0,-0.4958,0.651
0.0,-0.5037,0.6515
0.0,-0.5014,0.6594
0.0,-0.4956,0.6546
0.0,-0.505,0.6532
0.0,-0.5038,0.6468
0.0,-0.4978,0.6515
0.0,-0.5051,0.6491
0.0,-0.502,0.6469
0.0,-0.4974,0.6549
0.0,-0.5037,0.6425
0.0,-0.5074,0.6539
0.0,-0.4974,0.6541
0.0,-0.5039,0.6514
0.0,-0.4913,0.6414
0.0,-0.4916,0.649
