protected,f0
-0.2489,0.4975
0.2469,0.5001
0.2484,0.4911
0.2444,0.5016
0.2493,0.4978
0.2474,0.5014
-0.2506,0.4983
-0.2498,0.4904
0.247,0.5013
0.2525,0.5036
-0.249,0.5038
-0.2407,0.5006
-0.2485,0.4951
-0.2582,0.5035
-0.2437,0.493
0.2447,0.498
-0.2477,0.4972
-0.249,0.4913
0.2468,0.4978
-0.2546,0.5006
-0.2504,0.501
0.2545,0.5025
-0.2491,0.5038
0.2501,0.5021
-0.2487,0.501
0.2523,0.498
0.25,0.4999
0.2562,0.5026
0.2492,0.4985
0.2542,0.5019
-0.2443,0.4968
-0.2512,0.4988
0.252,0.5065
-0.2526,0.5037
-0.2487,0.4971
0.2472,0.4999
-0.2569,0.5031
-0.2489,0.4953
-0.244,0.4987
-0.2567,0.5085
0.2441,0.4983
-0.2469,0.4929
0.2516,0.5012
-0.2517,0.5008
0.2509,0.4975
-0.2558,0.501
-0.252,0.4982
-0.251,0.5027
-0.2439,0.4999
-0.2556,0.5073
0.2543,0.5051
-0.2457,0.4925
0.2499,0.496
0.2529,0.4995
0.0,0.2534
-0.2568,0.5048
-0.2435,0.4956
-0.2446,0.497
0.2523,0.4975
-0.2451,0.4955
-0.2527,0.5023
0.2503,0.5015
-0.2535,0.503
0.2538,0.501
0.2477,0.4991
-0.249,0.4965
-0.258,0.5098
0.2449,0.499
-0.248,0.4976
0.2516,0.5037
0.2518,0.5051
-0.2524,0.5011
0.2505,0.5001
-0.2565,0.5056
-0.2555,0.5044
0.2559,0.5014
-0.2454,0.5044
-0.2544,0.5063
-0.2511,0.5042
-0.2479,0.4961
0.2482,0.4963
0.2519,0.4995
-0.2438,0.4974
-0.2515,0.5018
-0.2489,0.5004
-0.249,0.5065
-0.2453,0.5021
-0.2508,0.5044
0.242,0.4898
0.2548,0.5025
-0.2477,0.4953
0.2485,0.4958
-0.2461,0.4914
-0.2548,0.5008
-0.249,0.5004
-0.252,0.5016
-0.2481,0.5013
0.2514,0.4987
-0.2427,0.4958
0.2459,0.4944
