f0,f1,f2,f3,f4,protected
0.0,-0.1891,0.0607,-0.1841,-0.1261,-0.1213
0.0,-0.0324,0.0,0.0,-0.0337,-0.0492
0.5044,-0.3146,0.38,0.4362,0.439,0.3785
0.5064,0.3591,-0.2623,0.3267,0.3551,0.3542
0.0,0.0483,0.0763,-0.1389,-0.1268,0.0328
0.0,-0.0498,0.018,0.0,-0.0498,0.0147
0.4999,0.5033,0.4968,0.4397,0.4303,0.433
0.0,0.0346,-0.0655,0.0325,-0.0655,0.0
0.0,-0.06,-0.06,0.0,0.0308,0.0317
0.0,0.0801,-0.1061,0.0,0.0771,-0.1228
0.0,0.0325,-0.0994,0.0487,0.0336,0.0
0.0,-0.2524,-0.127,-0.128,0.1247,-0.1239
0.5018,0.5024,-0.444,0.4398,0.4418,0.4978
0.0,0.0901,0.0608,-0.1369,-0.1809,0.0913
0.4928,0.4283,-0.3391,-0.3112,-0.3012,0.342
0.0,-0.0645,-0.049,0.0343,0.0,-0.0961
0.5049,0.5084,0.4204,-0.4086,-0.4043,0.4744
0.4993,-0.2455,-0.3084,0.3308,-0.3174,0.3712
0.0,-0.1428,0.0346,-0.1272,-0.1266,-0.0889
0.492,0.3744,0.3723,0.501,0.377,0.3738
0.0,0.0169,-0.1149,-0.0982,-0.1099,0.0314
0.4941,0.4824,0.4816,-0.4214,0.4835,0.4791
0.0,0.0941,0.094,-0.2224,0.1241,-0.1586
0.5061,0.4389,0.4165,0.496,0.432,0.4665
0.0,-0.1245,-0.1521,-0.0905,0.0644,0.0737
0.0,0.0947,-0.1872,-0.1576,-0.1894,-0.1598
0.0,0.0184,-0.067,0.0153,-0.0667,0.0
0.5026,0.4651,-0.4017,-0.425,0.4508,0.4881
0.5002,0.3928,0.4967,-0.3946,0.4197,0.4221
0.0,0.048,0.0165,0.0,-0.0791,-0.0808
0.0,0.0328,0.0463,-0.0959,-0.1411,-0.0795
0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.0751,-0.0768,0.0158,-0.0731,0.0146
0.4929,0.5031,0.4747,0.5051,0.4809,0.4675
0.0,0.0,-0.0145,-0.0287,0.0,0.0
0.0,-0.1043,0.0137,0.0326,-0.0723,0.0455
0.5106,0.4919,0.512,0.5024,0.4887,-0.4777
0.4941,0.4567,0.4513,-0.4022,0.473,-0.3558
0.0,0.0894,-0.1052,-0.2143,-0.1175,0.0895
0.0,0.0751,-0.1643,0.0731,0.0773,-0.1658
0.0,-0.0637,0.0462,-0.094,0.0,0.0326
0.5075,0.438,-0.3833,0.4028,-0.4008,0.5006
0.497,0.4807,-0.3535,0.424,0.4231,0.4354
0.0,-0.018,-0.018,-0.018,0.0,-0.018
0.0,0.0615,-0.186,0.096,0.0907,-0.1243
0.0,-0.0157,0.0,0.0,-0.0157,-0.0157
0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.1229,0.0625,0.062,-0.1229,0.0608
0.0,0.0496,-0.162,0.0932,-0.1326,-0.1688
0.5001,0.3416,0.3457,0.3434,0.3103,0.3792
0.0,-0.0911,-0.0756,0.0292,0.0477,-0.1073
0.0,-0.1245,-0.1219,0.1046,-0.1221,-0.2307
0.0,-0.1581,-0.1126,0.064,-0.1115,-0.0978
0.0,-0.1299,0.08,-0.1296,-0.1472,-0.1503
0.0,-0.0318,0.0,0.0,0.0156,-0.0318
0.0,0.0,0.0,-0.0321,-0.0321,0.016
0.0,0.0,0.0306,0.0448,-0.061,-0.0919
0.0,0.0,0.0,0.0,0.0,0.0
0.4984,-0.3405,-0.3101,-0.3108,0.4333,0.3579
0.0,0.0339,0.1152,-0.1465,-0.1625,-0.1577
0.0,-0.0793,0.0462,-0.0933,-0.1089,0.0
0.0,0.1553,-0.1699,-0.2022,-0.2487,-0.1863
0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.03,0.0,0.0,0.0,-0.0157
0.0,0.0464,-0.1136,0.0495,-0.0792,-0.13
0.5031,0.4103,0.4099,0.4107,0.4753,0.376
0.503,0.3762,0.4972,0.3737,0.3758,0.3734
0.0,-0.1828,-0.1863,0.1203,-0.1157,0.0621
0.4988,-0.407,0.4703,0.4535,-0.3915,0.4857
0.5048,0.4946,0.5078,0.483,0.5007,0.4952
0.0,-0.0152,0.0,-0.0152,-0.0152,-0.0152
0.0,0.0,0.0,0.0,0.0,0.0
0.5043,0.4798,0.486,0.4989,0.4842,-0.4423
0.0,-0.1547,0.1107,-0.2368,0.1284,-0.1634
0.0,0.0,0.0,0.0,0.0,-0.0153
0.5027,0.499,0.4364,0.5005,0.4406,0.4372
0.0,0.0,-0.0155,-0.0155,0.0,0.0
0.0,-0.0283,0.0,-0.0139,-0.0283,-0.0283
0.0,-0.0677,-0.0982,-0.1308,0.0315,-0.0982
0.0,0.0308,-0.0625,0.0,0.0315,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0632,-0.0634,0.0,0.0639,-0.13
0.0,0.0604,-0.1455,0.0638,-0.1616,0.0801
0.5114,0.5021,0.4951,-0.432,0.4656,-0.4423
0.0,0.0321,-0.1588,0.0973,-0.1272,-0.1399
0.4913,0.439,-0.3933,0.4434,0.4934,0.4501
0.4984,-0.3762,0.3959,0.5032,0.3982,0.3849
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0326,-0.0807,-0.1126,-0.126,0.0322
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1068,-0.1216,-0.1231,-0.2305,0.1083
0.0,0.0,0.0,0.0,0.0,0.0
0.5015,-0.343,0.4031,0.4016,-0.3701,0.4674
0.0,0.0,-0.0443,-0.0295,0.0,-0.0312
0.0,-0.0154,0.0,-0.0154,-0.0154,0.0
0.5012,0.4976,0.5001,0.4952,0.5031,0.5014
0.5072,0.5018,0.4026,0.4359,-0.407,0.4389
0.0,-0.045,-0.0315,-0.045,-0.045,0.0166
0.0,0.0309,-0.0919,0.0331,0.0,0.0453
0.0,0.0,0.0,0.0,0.0,0.0
