        f0      f1      f2      f3      f4  protected        max
0   0.0000  0.1891  0.0607  0.1841  0.1261     0.1213         f1
1   0.0000  0.0324  0.0000  0.0000  0.0337     0.0492  protected
2   0.5044  0.3146  0.3800  0.4362  0.4390     0.3785         f0
3   0.5064  0.3591  0.2623  0.3267  0.3551     0.3542         f0
4   0.0000  0.0483  0.0763  0.1389  0.1268     0.0328         f3
5   0.0000  0.0498  0.0180  0.0000  0.0498     0.0147         f1
6   0.4999  0.5033  0.4968  0.4397  0.4303     0.4330         f1
7   0.0000  0.0346  0.0655  0.0325  0.0655     0.0000         f2
8   0.0000  0.0600  0.0600  0.0000  0.0308     0.0317         f1
9   0.0000  0.0801  0.1061  0.0000  0.0771     0.1228  protected
10  0.0000  0.0325  0.0994  0.0487  0.0336     0.0000         f2
11  0.0000  0.2524  0.1270  0.1280  0.1247     0.1239         f1
12  0.5018  0.5024  0.4440  0.4398  0.4418     0.4978         f1
13  0.0000  0.0901  0.0608  0.1369  0.1809     0.0913         f4
14  0.4928  0.4283  0.3391  0.3112  0.3012     0.3420         f0
15  0.0000  0.0645  0.0490  0.0343  0.0000     0.0961  protected
16  0.5049  0.5084  0.4204  0.4086  0.4043     0.4744         f1
17  0.4993  0.2455  0.3084  0.3308  0.3174     0.3712         f0
18  0.0000  0.1428  0.0346  0.1272  0.1266     0.0889         f1
19  0.4920  0.3744  0.3723  0.5010  0.3770     0.3738         f3
20  0.0000  0.0169  0.1149  0.0982  0.1099     0.0314         f2
21  0.4941  0.4824  0.4816  0.4214  0.4835     0.4791         f0
22  0.0000  0.0941  0.0940  0.2224  0.1241     0.1586         f3
23  0.5061  0.4389  0.4165  0.4960  0.4320     0.4665         f0
24  0.0000  0.1245  0.1521  0.0905  0.0644     0.0737         f2
25  0.0000  0.0947  0.1872  0.1576  0.1894     0.1598         f4
26  0.0000  0.0184  0.0670  0.0153  0.0667     0.0000         f2
27  0.5026  0.4651  0.4017  0.4250  0.4508     0.4881         f0
28  0.5002  0.3928  0.4967  0.3946  0.4197     0.4221         f0
29  0.0000  0.0480  0.0165  0.0000  0.0791     0.0808  protected
..     ...     ...     ...     ...     ...        ...        ...
70  0.0000  0.0152  0.0000  0.0152  0.0152     0.0152         f1
71  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
72  0.5043  0.4798  0.4860  0.4989  0.4842     0.4423         f0
73  0.0000  0.1547  0.1107  0.2368  0.1284     0.1634         f3
74  0.0000  0.0000  0.0000  0.0000  0.0000     0.0153  protected
75  0.5027  0.4990  0.4364  0.5005  0.4406     0.4372         f0
76  0.0000  0.0000  0.0155  0.0155  0.0000     0.0000         f2
77  0.0000  0.0283  0.0000  0.0139  0.0283     0.0283         f1
78  0.0000  0.0677  0.0982  0.1308  0.0315     0.0982         f3
79  0.0000  0.0308  0.0625  0.0000  0.0315     0.0000         f2
80  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
81  0.0000  0.0632  0.0634  0.0000  0.0639     0.1300  protected
82  0.0000  0.0604  0.1455  0.0638  0.1616     0.0801         f4
83  0.5114  0.5021  0.4951  0.4320  0.4656     0.4423         f0
84  0.0000  0.0321  0.1588  0.0973  0.1272     0.1399         f2
85  0.4913  0.4390  0.3933  0.4434  0.4934     0.4501         f4
86  0.4984  0.3762  0.3959  0.5032  0.3982     0.3849         f3
87  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
88  0.0000  0.0326  0.0807  0.1126  0.1260     0.0322         f4
89  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
90  0.0000  0.1068  0.1216  0.1231  0.2305     0.1083         f4
91  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
92  0.5015  0.3430  0.4031  0.4016  0.3701     0.4674         f0
93  0.0000  0.0000  0.0443  0.0295  0.0000     0.0312         f2
94  0.0000  0.0154  0.0000  0.0154  0.0154     0.0000         f1
95  0.5012  0.4976  0.5001  0.4952  0.5031     0.5014         f4
96  0.5072  0.5018  0.4026  0.4359  0.4070     0.4389         f0
97  0.0000  0.0450  0.0315  0.0450  0.0450     0.0166         f1
98  0.0000  0.0309  0.0919  0.0331  0.0000     0.0453         f2
99  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0

[100 rows x 7 columns]


Num. FP: 13
