protected,f0
0.2441,-0.4936
0.246,-0.5031
0.2539,-0.4978
0.2508,-0.5011
0.2475,-0.4978
0.2538,-0.4991
0.2506,-0.4968
0.2513,-0.5069
0.2457,-0.4974
0.2483,-0.4993
0.2511,-0.5019
0.248,-0.4989
0.2409,-0.4923
0.2507,-0.4991
0.2577,-0.5059
0.2473,-0.5106
0.2526,-0.5033
0.252,-0.5084
0.2452,-0.498
0.2592,-0.5179
0.2484,-0.4974
0.2479,-0.4961
0.2453,-0.5001
0.2497,-0.4967
0.2495,-0.4971
0.2455,-0.4962
0.249,-0.4948
0.247,-0.5002
0.2447,-0.4958
0.2478,-0.4983
0.2448,-0.5021
0.2534,-0.5011
0.2574,-0.5117
0.2503,-0.4994
0.244,-0.499
0.2521,-0.5028
0.2509,-0.5033
0.252,-0.5056
0.2556,-0.5083
0.2482,-0.4972
0.2533,-0.5052
0.2517,-0.5018
0.2536,-0.5027
0.2454,-0.5026
0.2547,-0.5047
0.2522,-0.5012
0.2489,-0.4943
0.2389,-0.4896
0.2442,-0.4976
0.2566,-0.506
0.2573,-0.4921
0.2479,-0.4963
0.2451,-0.4986
0.2487,-0.4918
0.2513,-0.5002
0.2525,-0.5013
0.2517,-0.5062
0.2535,-0.5039
0.2561,-0.5009
0.2508,-0.5029
0.2484,-0.4973
0.2544,-0.4943
0.2546,-0.4986
0.2559,-0.5046
0.2458,-0.5012
0.2455,-0.4995
0.2498,-0.5011
0.2468,-0.4945
0.2479,-0.4928
0.2479,-0.4966
0.2476,-0.4978
0.2576,-0.4973
0.2465,-0.4987
0.2491,-0.5039
0.2447,-0.4932
0.2394,-0.4916
0.2545,-0.5069
0.2537,-0.5067
0.2436,-0.4947
0.2506,-0.4964
0.2536,-0.5084
0.2514,-0.5018
0.2554,-0.5044
0.2497,-0.5024
0.2462,-0.5043
0.2548,-0.5036
0.2447,-0.499
0.2639,-0.5148
0.2571,-0.5052
0.2367,-0.4898
0.249,-0.4984
0.2402,-0.4851
0.2551,-0.5019
0.2468,-0.5001
0.2491,-0.5069
0.2424,-0.4894
0.2476,-0.4968
0.2503,-0.5031
0.2481,-0.498
0.244,-0.4986
