f0,f1,f2,f3,f4,f5,f6,protected
0.505,0.4863,0.5079,-0.4799,0.5061,0.5028,0.5034,-0.4852
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5025,0.5016,0.4852,0.5096,0.5044,0.4988,-0.4901,0.491
0.0,0.0087,-0.0247,-0.0334,0.0,0.0,0.0143,-0.0262
0.0,-0.0968,0.0344,0.0516,0.0119,-0.0887,-0.0835,-0.0655
0.0,-0.0554,0.024,0.0,-0.0398,-0.0408,0.0,0.0314
0.0,0.0426,-0.1037,0.0532,0.0355,-0.0941,-0.1081,-0.1347
0.0,0.0,-0.0567,-0.0907,0.0322,0.0353,0.0434,-0.0556
0.0,-0.0631,0.0454,-0.0696,-0.1067,0.0212,0.0385,0.0246
0.0,0.0154,0.0114,-0.0307,0.0277,0.0152,-0.0588,0.0
0.0,0.0184,-0.0314,0.0048,0.0223,0.0,-0.0539,-0.0353
0.0,0.0212,-0.0368,-0.0557,0.0075,-0.0314,0.0,0.0154
0.0,-0.0709,0.0099,0.045,0.0447,0.0382,-0.0955,-0.1022
0.0,0.0031,-0.0262,0.0039,-0.0259,0.0034,0.0044,-0.0263
0.0,0.0291,-0.0847,0.0304,0.0191,-0.0786,-0.0465,0.0247
0.0,-0.0313,0.0,-0.0229,0.0,-0.024,-0.0251,0.0044
0.0,0.0,-0.0349,-0.0443,-0.0336,-0.0324,-0.0364,0.0205
0.0,0.0239,0.0,-0.0496,0.0343,-0.0491,0.0072,-0.057
0.0,-0.0636,0.0158,0.0468,-0.0991,0.0207,-0.0778,0.0341
0.0,-0.0557,0.0315,0.0353,0.0,-0.0519,0.015,-0.0639
0.4978,0.4039,0.3936,-0.3723,0.5008,0.3942,-0.3761,-0.3787
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.0646,-0.1109,-0.0548,0.0555,0.05,0.0459
0.0,0.0,0.0,-0.0322,0.0181,0.0107,-0.0305,0.0079
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5077,0.4218,-0.3787,0.4388,-0.3955,0.4535,0.4766,0.4433
0.0,0.0351,-0.0795,0.0342,0.0232,-0.1021,0.0386,0.0379
0.0,0.0,0.0,-0.0039,-0.0039,-0.0039,-0.0039,-0.0039
0.0,0.0069,0.0077,0.0,0.0,0.0112,-0.0267,-0.0225
0.0,0.0,0.0,0.0,0.0,-0.0048,0.0,-0.0089
0.0,-0.0244,-0.0279,0.0131,0.0,-0.0195,0.0082,0.0
0.0,-0.1577,-0.1741,0.1044,0.0725,-0.1257,0.082,-0.1432
0.0,0.0,0.0345,-0.0544,0.0155,0.0331,-0.0619,-0.0539
0.507,0.4744,-0.4206,0.4389,0.4493,0.4931,-0.4341,0.4388
0.0,-0.0075,0.0,-0.0075,0.0,0.0039,0.0,0.0
0.0,-0.0279,-0.0294,-0.0258,-0.0377,-0.0377,0.0038,-0.0222
0.0,0.0,0.0188,0.0097,-0.0403,-0.0443,0.0152,-0.0257
0.0,0.0458,-0.1185,0.0469,0.0417,-0.0954,-0.0694,-0.0995
0.0,0.0,-0.0084,0.0,0.0042,-0.0084,-0.0084,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.0566,-0.0566,-0.0301,-0.0307,-0.0566,0.0252,-0.0297
0.5025,0.5009,-0.4395,-0.4318,0.4984,-0.441,0.4549,0.4523
0.0,0.0,0.0,-0.0087,0.0,-0.0087,0.0051,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.0264,-0.0195,0.0,0.0,0.0136,-0.0237
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4914,0.4438,-0.4411,0.5043,-0.437,-0.4417,0.4406,0.487
0.0,-0.0045,0.0,-0.0045,-0.0045,0.0,-0.0045,0.0
0.0,-0.1329,0.0934,-0.1271,-0.1315,-0.1299,0.0937,0.0183
0.0,0.0686,0.0324,-0.0658,-0.121,0.0623,0.0299,-0.1078
0.0,-0.0401,-0.0588,0.0273,0.008,0.0212,-0.0588,-0.0352
0.0,0.1259,0.1687,0.1494,-0.1811,-0.2266,-0.2061,-0.202
0.507,0.4748,-0.4224,0.4427,0.4551,0.4634,0.443,0.5057
0.0,0.0,0.0607,0.0639,0.0621,0.0591,-0.1232,0.0593
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0248,-0.0603,-0.0533,-0.053,0.0127,-0.0717,-0.0594
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.0721,0.0205,-0.0915,0.0513,-0.085,-0.1175,0.0375
0.0,-0.0233,0.0043,-0.0236,0.0076,0.0,0.0072,0.0
0.0,0.0133,-0.0331,-0.0359,-0.0514,0.0045,-0.0477,0.0126
0.5003,-0.4186,-0.4366,0.4921,-0.4408,0.4705,0.4796,0.4665
0.0,0.0147,-0.0302,-0.0457,-0.0426,-0.0533,0.0116,-0.0453
0.0,-0.0797,-0.0515,0.0255,-0.0559,0.0257,0.0277,0.0045
0.5035,-0.4587,0.4984,0.4732,-0.4486,-0.4593,0.5032,0.4891
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0415,0.0271,-0.0835,0.0,-0.0453,0.0249,0.0396
