        f0      f1      f2      f3      f4      f5      f6  protected        max
0   0.5050  0.4863  0.5079  0.4799  0.5061  0.5028  0.5034     0.4852         f2
1   0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
2   0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
3   0.5025  0.5016  0.4852  0.5096  0.5044  0.4988  0.4901     0.4910         f3
4   0.0000  0.0087  0.0247  0.0334  0.0000  0.0000  0.0143     0.0262         f3
5   0.0000  0.0968  0.0344  0.0516  0.0119  0.0887  0.0835     0.0655         f1
6   0.0000  0.0554  0.0240  0.0000  0.0398  0.0408  0.0000     0.0314         f1
7   0.0000  0.0426  0.1037  0.0532  0.0355  0.0941  0.1081     0.1347  protected
8   0.0000  0.0000  0.0567  0.0907  0.0322  0.0353  0.0434     0.0556         f3
9   0.0000  0.0631  0.0454  0.0696  0.1067  0.0212  0.0385     0.0246         f4
10  0.0000  0.0154  0.0114  0.0307  0.0277  0.0152  0.0588     0.0000         f6
11  0.0000  0.0184  0.0314  0.0048  0.0223  0.0000  0.0539     0.0353         f6
12  0.0000  0.0212  0.0368  0.0557  0.0075  0.0314  0.0000     0.0154         f3
13  0.0000  0.0709  0.0099  0.0450  0.0447  0.0382  0.0955     0.1022  protected
14  0.0000  0.0031  0.0262  0.0039  0.0259  0.0034  0.0044     0.0263  protected
15  0.0000  0.0291  0.0847  0.0304  0.0191  0.0786  0.0465     0.0247         f2
16  0.0000  0.0313  0.0000  0.0229  0.0000  0.0240  0.0251     0.0044         f1
17  0.0000  0.0000  0.0349  0.0443  0.0336  0.0324  0.0364     0.0205         f3
18  0.0000  0.0239  0.0000  0.0496  0.0343  0.0491  0.0072     0.0570  protected
19  0.0000  0.0636  0.0158  0.0468  0.0991  0.0207  0.0778     0.0341         f4
20  0.0000  0.0557  0.0315  0.0353  0.0000  0.0519  0.0150     0.0639  protected
21  0.4978  0.4039  0.3936  0.3723  0.5008  0.3942  0.3761     0.3787         f4
22  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
23  0.0000  0.0000  0.0646  0.1109  0.0548  0.0555  0.0500     0.0459         f3
24  0.0000  0.0000  0.0000  0.0322  0.0181  0.0107  0.0305     0.0079         f3
25  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
26  0.5077  0.4218  0.3787  0.4388  0.3955  0.4535  0.4766     0.4433         f0
27  0.0000  0.0351  0.0795  0.0342  0.0232  0.1021  0.0386     0.0379         f5
28  0.0000  0.0000  0.0000  0.0039  0.0039  0.0039  0.0039     0.0039         f3
29  0.0000  0.0069  0.0077  0.0000  0.0000  0.0112  0.0267     0.0225         f6
..     ...     ...     ...     ...     ...     ...     ...        ...        ...
70  0.0000  0.0124  0.0000  0.0000  0.0046  0.0167  0.0000     0.0041         f5
71  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
72  0.0000  0.0403  0.0166  0.0037  0.0448  0.0072  0.0532     0.0146         f6
73  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
74  0.0000  0.0204  0.0924  0.0632  0.0782  0.0714  0.0677     0.0267         f2
75  0.0000  0.0157  0.0000  0.0079  0.0157  0.0157  0.0000     0.0081         f1
76  0.0000  0.0730  0.0000  0.0464  0.0583  0.0646  0.1097     0.0737         f6
77  0.0000  0.0274  0.0000  0.0000  0.0379  0.0592  0.0455     0.0386         f5
78  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
79  0.0000  0.0903  0.0658  0.0367  0.0872  0.0601  0.0963     0.0216         f6
80  0.5023  0.4951  0.4553  0.4431  0.4634  0.5015  0.4751     0.4712         f0
81  0.0000  0.0000  0.0076  0.0000  0.0000  0.0080  0.0000     0.0160  protected
82  0.4975  0.3945  0.4668  0.3921  0.3825  0.3397  0.3936     0.3429         f0
83  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
84  0.0000  0.0327  0.0000  0.0191  0.0031  0.0000  0.0158     0.0180         f1
85  0.0000  0.0931  0.0150  0.0663  0.0961  0.1214  0.0670     0.0938         f5
86  0.0000  0.0112  0.0571  0.0746  0.0160  0.0773  0.0158     0.0487         f5
87  0.0000  0.0822  0.0883  0.0545  0.1334  0.0313  0.0545     0.0482         f4
88  0.0000  0.0000  0.0196  0.0000  0.0109  0.0000  0.0118     0.0157         f2
89  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
90  0.0000  0.0150  0.0369  0.0473  0.0826  0.0260  0.0972     0.0731         f6
91  0.0000  0.0243  0.0130  0.0391  0.0391  0.0188  0.0000     0.0082         f3
92  0.0000  0.0119  0.0000  0.0042  0.0071  0.0000  0.0081     0.0278  protected
93  0.0000  0.0661  0.0495  0.0970  0.0651  0.0000  0.0486     0.0448         f3
94  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
95  0.0000  0.0296  0.0081  0.0000  0.0155  0.0152  0.0547     0.0281         f6
96  0.0000  0.0650  0.0711  0.0443  0.0319  0.0922  0.0258     0.0961  protected
97  0.0000  0.0157  0.0159  0.0000  0.0000  0.0000  0.0300     0.0143         f6
98  0.0000  0.0473  0.0376  0.0845  0.0369  0.0235  0.0000     0.0300         f3
99  0.0000  0.0738  0.0706  0.1033  0.1695  0.1420  0.1508     0.1287         f4

[100 rows x 9 columns]


Num. FP: 9
