        f0      f1      f2      f3      f4  protected        max
0   0.5013  0.4373  0.4014  0.4764  0.4934     0.3969         f0
1   0.0000  0.0318  0.1184  0.1419  0.1559     0.1373         f4
2   0.0000  0.0298  0.0450  0.0924  0.0924     0.0299         f3
3   0.0000  0.0609  0.0615  0.1244  0.0000     0.0629         f3
4   0.0000  0.0322  0.0469  0.0169  0.0000     0.0000         f2
5   0.0000  0.0610  0.0157  0.0156  0.0145     0.0000         f1
6   0.5051  0.4653  0.4855  0.4229  0.4875     0.4767         f0
7   0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
8   0.5057  0.3112  0.4301  0.4042  0.4029     0.3413         f0
9   0.0000  0.0644  0.0644  0.0324  0.0644     0.0308         f1
10  0.5079  0.4690  0.4902  0.4949  0.4858     0.4357         f0
11  0.0000  0.0762  0.0756  0.1084  0.0603     0.0132         f3
12  0.5092  0.3180  0.2946  0.3376  0.2831     0.3328         f0
13  0.0000  0.1226  0.0456  0.0164  0.0802     0.0474         f1
14  0.0000  0.0641  0.0326  0.0000  0.0641     0.0317         f1
15  0.0000  0.0983  0.0772  0.1960  0.1610     0.0824         f3
16  0.0000  0.0181  0.0181  0.0181  0.0181     0.0000         f1
17  0.0000  0.0646  0.0000  0.0313  0.0323     0.0000         f1
18  0.0000  0.1543  0.1244  0.1076  0.1255     0.1104         f1
19  0.0000  0.0157  0.0000  0.0000  0.0000     0.0157         f1
20  0.0000  0.0310  0.0319  0.0478  0.0000     0.0478         f3
21  0.0000  0.0615  0.0000  0.0640  0.1266     0.0607         f4
22  0.4965  0.3265  0.2966  0.3080  0.3570     0.4156         f0
23  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
24  0.5017  0.2820  0.4055  0.3109  0.3212     0.3375         f0
25  0.5003  0.4190  0.3148  0.3995  0.3431     0.3748         f0
26  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
27  0.0000  0.0000  0.0629  0.0320  0.0329     0.0943  protected
28  0.0000  0.0797  0.0000  0.0629  0.0165     0.0833  protected
29  0.0000  0.1207  0.1230  0.1258  0.1180     0.2463  protected
..     ...     ...     ...     ...     ...        ...        ...
70  0.0000  0.0987  0.0326  0.1303  0.1257     0.1611  protected
71  0.0000  0.0448  0.0930  0.0624  0.0614     0.0000         f2
72  0.0000  0.1240  0.1103  0.1094  0.2041     0.0778         f4
73  0.0000  0.0356  0.0356  0.0163  0.0000     0.0356         f1
74  0.0000  0.1222  0.1295  0.1434  0.2562     0.1408         f4
75  0.0000  0.0764  0.0457  0.0000  0.0317     0.0612         f1
76  0.5038  0.3435  0.3870  0.4374  0.4182     0.4067         f0
77  0.5022  0.3732  0.3868  0.4953  0.3673     0.3835         f0
78  0.5060  0.4783  0.4310  0.3934  0.4176     0.4543         f0
79  0.0000  0.0624  0.0304  0.0000  0.0624     0.0326         f1
80  0.0000  0.0576  0.0000  0.0000  0.0305     0.0292         f1
81  0.5051  0.3323  0.2704  0.2642  0.3426     0.2840         f0
82  0.0000  0.0144  0.0749  0.0450  0.0312     0.0000         f2
83  0.0000  0.1215  0.0590  0.0000  0.0609     0.0589         f1
84  0.0000  0.0282  0.0603  0.0000  0.0000     0.0294         f2
85  0.0000  0.0321  0.0321  0.0000  0.0321     0.0155         f1
86  0.0000  0.1554  0.1577  0.2489  0.1254     0.1867         f3
87  0.0000  0.1569  0.1211  0.2362  0.1567     0.1552         f3
88  0.0000  0.0606  0.0968  0.1246  0.0335     0.0309         f3
89  0.4989  0.3360  0.4656  0.3328  0.3932     0.3766         f0
90  0.0000  0.0000  0.0000  0.0158  0.0332     0.0332         f4
91  0.5024  0.5132  0.4462  0.4889  0.4813     0.4818         f1
92  0.0000  0.1068  0.1114  0.1747  0.2061     0.0780         f4
93  0.0000  0.0892  0.0759  0.0289  0.1513     0.0595         f4
94  0.0000  0.1576  0.1223  0.0457  0.1705     0.1220         f4
95  0.0000  0.2187  0.2170  0.2129  0.1235     0.1703         f1
96  0.0000  0.1259  0.1328  0.1245  0.1245     0.2532  protected
97  0.5043  0.3802  0.3796  0.5095  0.3713     0.3880         f3
98  0.0000  0.0288  0.0000  0.0610  0.0000     0.0285         f3
99  0.4966  0.3836  0.3094  0.4254  0.4273     0.3725         f0

[100 rows x 7 columns]


Num. FP: 8
