f0,f1,f2,f3,f4,protected
-0.5013,-0.4373,0.4014,-0.4764,-0.4934,0.3969
0.0,-0.0318,0.1184,0.1419,0.1559,0.1373
0.0,-0.0298,0.045,0.0924,0.0924,-0.0299
0.0,0.0609,0.0615,0.1244,0.0,0.0629
0.0,0.0322,0.0469,-0.0169,0.0,0.0
0.0,0.061,-0.0157,-0.0156,-0.0145,0.0
-0.5051,-0.4653,-0.4855,0.4229,-0.4875,-0.4767
0.0,0.0,0.0,0.0,0.0,0.0
-0.5057,0.3112,-0.4301,-0.4042,-0.4029,0.3413
0.0,0.0644,0.0644,0.0324,0.0644,0.0308
-0.5079,-0.469,-0.4902,-0.4949,-0.4858,0.4357
0.0,0.0762,0.0756,0.1084,0.0603,-0.0132
-0.5092,-0.318,0.2946,-0.3376,0.2831,-0.3328
0.0,0.1226,-0.0456,-0.0164,0.0802,-0.0474
0.0,0.0641,0.0326,0.0,0.0641,0.0317
0.0,-0.0983,-0.0772,0.196,0.161,-0.0824
0.0,0.0181,0.0181,0.0181,0.0181,0.0
0.0,0.0646,0.0,0.0313,-0.0323,0.0
0.0,0.1543,0.1244,0.1076,0.1255,0.1104
0.0,0.0157,0.0,0.0,0.0,0.0157
0.0,0.031,0.0319,0.0478,0.0,0.0478
0.0,0.0615,0.0,0.064,0.1266,0.0607
-0.4965,0.3265,0.2966,0.308,-0.357,-0.4156
0.0,0.0,0.0,0.0,0.0,0.0
-0.5017,0.282,-0.4055,0.3109,0.3212,0.3375
-0.5003,-0.419,0.3148,-0.3995,0.3431,-0.3748
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0629,-0.032,-0.0329,0.0943
0.0,0.0797,0.0,0.0629,-0.0165,0.0833
0.0,0.1207,0.123,-0.1258,0.118,0.2463
0.0,0.064,0.0737,-0.0291,-0.0154,0.1091
0.0,0.0,0.0283,0.0152,0.0,0.0283
-0.4952,-0.3905,-0.4595,-0.3936,-0.4173,-0.4186
-0.505,-0.3924,-0.3895,-0.5088,0.3864,-0.3907
0.0,-0.0639,0.1569,-0.0479,-0.0632,-0.0441
0.0,-0.0169,-0.0308,0.0745,0.0,0.0444
0.0,0.2242,0.1607,0.1239,0.1572,-0.0942
0.0,0.0,0.0,0.0,0.0155,0.0155
0.0,0.0568,0.0286,0.0274,0.0568,0.0568
-0.4948,0.4203,-0.4918,0.3659,-0.4413,-0.4346
0.0,0.1257,0.0757,0.1098,0.1071,-0.0317
0.0,0.0635,0.0623,0.0794,0.0,0.0787
-0.4995,-0.4038,-0.3713,0.3413,0.3131,0.2806
0.0,0.0799,-0.0166,-0.0159,-0.0153,0.0776
0.0,-0.0446,-0.0284,0.1389,0.0754,0.0876
0.0,0.0952,0.0936,0.0753,-0.0163,-0.0327
-0.504,-0.505,-0.4417,-0.4868,-0.446,-0.4373
-0.5008,-0.376,0.3239,-0.3895,-0.4399,0.3255
0.0,0.1512,-0.077,0.1211,-0.0597,-0.0593
-0.4995,-0.4397,0.3773,-0.4288,-0.369,0.3116
0.0,0.1715,0.1997,0.165,-0.112,0.142
0.0,0.1604,0.1256,-0.0947,0.2189,0.1578
0.0,0.2492,-0.1234,0.1525,-0.1434,-0.1249
0.0,0.0,0.0169,0.0,0.0,0.0
0.0,0.0461,0.0641,0.0495,0.0641,-0.0159
0.0,0.0956,0.1245,0.0622,0.0925,-0.0311
0.0,0.0,0.0,0.0,0.0,0.0
-0.4991,-0.4912,-0.4505,-0.4651,-0.4864,0.4195
0.0,-0.0324,0.0801,0.1243,0.126,0.1246
-0.5025,-0.4433,-0.4377,-0.4898,-0.4903,0.4116
0.0,-0.052,0.1167,0.1167,-0.0486,-0.051
-0.4991,-0.475,-0.4366,-0.5003,-0.4546,0.4058
0.0,-0.031,-0.0142,0.0462,0.0,0.0772
-0.4972,-0.4976,0.4148,0.4244,-0.4393,-0.489
0.0,0.1628,0.0963,0.0993,0.1291,0.0818
0.0,-0.0148,0.1384,0.0778,0.0768,-0.062
0.0,0.049,-0.0303,0.0953,0.0,-0.0334
0.0,-0.0136,-0.0153,0.0748,0.0769,0.0777
0.0,-0.1538,0.1845,0.2453,0.2181,-0.17
0.0,-0.0299,0.0564,-0.0276,0.0,0.0564
0.0,0.0987,-0.0326,0.1303,0.1257,0.1611
0.0,0.0448,0.093,0.0624,0.0614,0.0
0.0,0.124,0.1103,0.1094,0.2041,-0.0778
0.0,0.0356,0.0356,0.0163,0.0,0.0356
0.0,-0.1222,-0.1295,0.1434,0.2562,0.1408
0.0,0.0764,0.0457,0.0,-0.0317,0.0612
-0.5038,0.3435,-0.387,-0.4374,-0.4182,-0.4067
-0.5022,-0.3732,-0.3868,-0.4953,0.3673,0.3835
-0.506,-0.4783,-0.431,0.3934,-0.4176,-0.4543
0.0,0.0624,-0.0304,0.0,0.0624,0.0326
0.0,0.0576,0.0,0.0,0.0305,0.0292
-0.5051,-0.3323,0.2704,0.2642,-0.3426,0.284
0.0,-0.0144,0.0749,0.045,-0.0312,0.0
0.0,0.1215,-0.059,0.0,0.0609,0.0589
0.0,0.0282,0.0603,0.0,0.0,0.0294
0.0,0.0321,0.0321,0.0,0.0321,-0.0155
0.0,0.1554,0.1577,0.2489,-0.1254,0.1867
0.0,0.1569,-0.1211,0.2362,0.1567,0.1552
0.0,0.0606,0.0968,0.1246,-0.0335,-0.0309
-0.4989,0.336,-0.4656,0.3328,-0.3932,-0.3766
0.0,0.0,0.0,0.0158,0.0332,0.0332
-0.5024,-0.5132,0.4462,-0.4889,-0.4813,-0.4818
0.0,-0.1068,-0.1114,0.1747,0.2061,-0.078
0.0,0.0892,0.0759,-0.0289,0.1513,-0.0595
0.0,0.1576,0.1223,-0.0457,0.1705,0.122
0.0,0.2187,0.217,0.2129,-0.1235,0.1703
0.0,0.1259,0.1328,0.1245,0.1245,0.2532
-0.5043,0.3802,0.3796,-0.5095,0.3713,-0.388
0.0,0.0288,0.0,0.061,0.0,0.0285
-0.4966,-0.3836,0.3094,-0.4254,-0.4273,-0.3725
