protected,f0,accuracy
0.0,0.0,0.6429
0.0,0.0,0.6484
0.0,0.0,0.6522
0.0,0.0,0.6535
0.0,0.0,0.6538
0.0,0.0,0.6437
0.0,0.0,0.6613
0.0,0.0,0.6538
0.0,0.0,0.6508
0.0,0.0,0.6506
0.0,0.0,0.6499
0.0,0.0,0.6495
0.0,0.0,0.652
0.0,0.0,0.656
0.0,0.0,0.6548
0.0,0.0,0.6487
0.0,0.0,0.6499
0.0,0.0,0.6509
0.0,0.0,0.6466
0.0,0.0,0.6476
0.0,0.0,0.6514
0.0,0.0,0.644
0.0,0.0,0.6522
0.0,0.0,0.6516
0.0,0.0,0.6401
0.0,0.0,0.6518
0.0,0.0,0.6481
0.0,0.0,0.6466
0.0,0.0,0.6465
0.0,0.0,0.6502
0.0,0.0,0.6574
0.0,0.0,0.651
0.0,0.0,0.6511
0.0,0.0,0.6451
0.0,0.0,0.6541
0.0,0.0,0.6484
0.0,0.0,0.6465
0.0,0.0,0.6551
0.0,0.0,0.6502
0.0,0.0,0.6511
0.0,0.0,0.6508
0.0,0.0,0.6485
0.0,0.0,0.656
0.0,0.0,0.6433
0.0,0.0,0.6541
0.0,0.0,0.6478
0.0,0.0,0.6571
0.0,0.0,0.6496
0.0,0.0,0.6595
0.0,0.0,0.6555
0.0,0.0,0.6457
0.0,0.0,0.6471
0.0,0.0,0.6442
0.0,0.0,0.6453
0.0,0.0,0.6542
0.0,0.0,0.6622
0.0,0.0,0.6531
0.0,0.0,0.6527
0.0,0.0,0.6468
0.0,0.0,0.6467
0.0,0.0,0.6511
0.0,0.0,0.6547
0.0,0.0,0.6484
0.0,0.0,0.6571
0.0,0.0,0.6474
0.0,0.0,0.6478
0.0,0.0,0.6499
0.0,0.0,0.65
0.0,0.0,0.6471
0.0,0.0,0.6489
0.0,0.0,0.6529
0.0,0.0,0.6445
0.0,0.0,0.6492
0.0,0.0,0.6496
0.0,0.0,0.6517
0.0,0.0,0.6506
0.0,0.0,0.6448
0.0,0.0,0.6513
0.0,0.0,0.6488
0.0,0.0,0.6488
0.0,0.0,0.6545
0.0,0.0,0.6503
0.0,0.0,0.6513
0.0,0.0,0.6452
0.0,0.0,0.6485
0.0,0.0,0.6444
0.0,0.0,0.6502
0.0,0.0,0.6502
0.0,0.0,0.6502
0.0,0.0,0.6512
0.0,0.0,0.6504
0.0,0.0,0.6465
0.0,0.0,0.6444
0.0,0.0,0.6569
0.0,0.0,0.6558
0.0,0.0,0.6431
0.0,0.0,0.6599
0.0,0.0,0.6465
0.0,0.0,0.6584
0.0,0.0,0.6548
