protected,f0,accuracy
0.0,0.0,0.5455
0.0,-0.2463,0.5562
0.0,-0.2536,0.5528
0.0,0.0,0.5552
0.0,0.0,0.5452
0.0,0.0,0.5479
-0.2576,-0.2576,0.5487
0.0,0.0,0.556
0.0,-0.2488,0.5467
0.2448,-0.5005,0.545
0.0,-0.2515,0.5531
0.0,0.0,0.5494
0.0,0.0,0.5498
0.0,0.0,0.5568
0.0,0.0,0.5409
0.0,0.0,0.5487
0.2495,-0.5033,0.5531
0.0,0.0,0.5444
0.0,0.0,0.5436
-0.2471,-0.2471,0.555
0.0,0.0,0.5534
0.0,0.0,0.5591
0.0,0.0,0.5418
0.0,0.0,0.5536
0.0,-0.2523,0.5516
0.0,0.0,0.5508
0.0,0.0,0.5476
0.0,0.0,0.5499
0.0,0.0,0.5472
0.0,0.0,0.5596
0.0,0.0,0.5499
0.2494,-0.499,0.5452
0.0,0.0,0.5501
0.0,0.0,0.5511
0.0,0.0,0.5472
0.0,0.0,0.5485
0.0,-0.2497,0.5483
0.0,0.0,0.5563
0.0,0.0,0.5424
0.0,0.0,0.5506
0.0,0.0,0.5563
0.2522,-0.5058,0.5533
0.0,-0.2508,0.5567
0.2454,-0.4997,0.5538
0.0,-0.251,0.5576
0.0,0.0,0.5444
0.0,-0.2476,0.5491
0.0,-0.2439,0.5466
0.0,0.0,0.5501
0.0,-0.2483,0.564
0.0,0.0,0.5488
0.0,-0.2384,0.5485
0.0,0.0,0.5473
0.2527,-0.5035,0.5491
0.0,0.0,0.5486
0.0,-0.2516,0.5565
0.0,0.0,0.5623
0.0,0.0,0.5525
0.2451,-0.4961,0.5466
0.0,-0.2464,0.5451
0.0,0.0,0.5523
0.0,0.0,0.5554
0.0,0.0,0.5536
0.0,-0.2504,0.5421
0.0,0.0,0.5561
0.0,-0.2537,0.5477
0.0,0.0,0.5458
0.0,-0.2485,0.5557
0.0,-0.2503,0.5582
0.0,-0.2549,0.5598
0.0,-0.2468,0.5495
0.0,-0.2416,0.555
0.0,-0.2478,0.5474
0.0,-0.2512,0.5566
0.0,-0.2448,0.5531
0.2488,-0.4973,0.5509
0.0,-0.2533,0.553
0.0,-0.2521,0.5505
0.0,0.0,0.5526
0.0,-0.2451,0.5543
0.0,0.0,0.537
0.0,-0.2491,0.5492
0.0,0.0,0.5462
0.0,-0.246,0.5531
0.0,-0.2478,0.5412
0.0,-0.249,0.5539
0.0,-0.2507,0.5521
0.0,0.0,0.5535
0.0,-0.2496,0.5507
0.0,-0.2442,0.5611
0.0,-0.2453,0.5508
0.0,0.0,0.552
0.0,-0.2531,0.5401
0.0,0.0,0.538
0.2513,-0.4988,0.5505
0.0,0.0,0.5455
0.245,-0.4914,0.5574
0.0,0.0,0.5421
0.0,0.0,0.5542
0.0,0.0,0.5366
