protected,f0,accuracy
0.2527,0.0,0.652
0.2496,0.0,0.6524
0.253,0.0,0.6532
0.2554,0.0,0.6483
0.2508,0.0,0.6436
0.2511,0.0,0.6454
0.2525,0.0,0.6533
0.2413,0.0,0.6561
0.255,0.0,0.6531
0.2452,0.0,0.6474
0.2442,0.0,0.6521
0.248,0.0,0.6519
0.2486,0.0,0.6499
0.2528,0.0,0.6576
0.2618,0.0,0.6513
0.2461,0.0,0.6561
0.2472,0.2458,0.6501
0.2534,0.0,0.6494
0.2457,0.0,0.6508
0.2511,0.0,0.6514
0.2436,0.0,0.6471
0.2547,0.0,0.6561
0.2508,0.0,0.6492
0.2483,0.0,0.6593
-0.261,-0.2459,0.6432
0.2529,0.0,0.6449
0.2519,0.0,0.6444
0.2454,0.0,0.6583
0.2485,0.0,0.6509
0.2439,0.0,0.6457
0.2536,0.0,0.6455
0.2479,0.0,0.6574
0.2509,0.0,0.6478
0.2526,0.0,0.6538
0.2475,0.0,0.651
0.2465,0.0,0.6513
0.241,0.0,0.6455
0.2553,0.2505,0.6518
0.249,0.0,0.6465
0.2508,0.0,0.642
0.2499,0.0,0.6586
0.2442,0.0,0.6527
0.2471,0.0,0.6555
0.2518,0.0,0.655
0.2526,0.0,0.6476
0.2507,0.0,0.6438
0.2498,0.0,0.6522
0.2493,0.0,0.6529
0.2478,0.0,0.6466
0.2506,0.0,0.6552
0.2493,0.0,0.657
0.2514,0.0,0.6538
0.2449,0.0,0.653
0.2495,0.0,0.6539
0.2452,0.0,0.6508
0.2462,0.0,0.6472
0.2532,0.0,0.6534
0.2485,0.0,0.6507
0.2554,0.0,0.6458
0.2474,0.0,0.6638
0.2471,0.0,0.6434
0.2603,0.0,0.6429
0.2526,0.0,0.6443
0.2405,0.0,0.6504
0.2536,0.0,0.6548
0.2478,0.0,0.6577
0.2492,0.0,0.6562
0.2533,0.0,0.6364
0.2511,0.0,0.651
0.257,0.0,0.6522
0.2496,0.0,0.6507
0.2439,0.0,0.6569
0.2481,0.0,0.6516
0.2524,0.0,0.6606
0.2537,0.0,0.6587
0.2539,0.0,0.6601
0.2553,0.0,0.6455
0.2547,0.2517,0.6484
0.2474,0.0,0.6455
0.2538,0.0,0.6632
0.2416,0.0,0.649
0.2525,0.0,0.6493
0.2544,0.0,0.6421
0.2546,0.0,0.6571
0.2493,0.0,0.6425
0.2485,0.0,0.6468
0.2478,0.0,0.6457
0.2509,0.0,0.6602
0.2474,0.0,0.647
0.2513,0.0,0.6495
0.2514,0.0,0.6489
0.2487,0.0,0.6563
0.2414,0.0,0.6483
0.2518,0.0,0.6542
0.2523,0.0,0.6433
0.2501,0.0,0.6477
0.2479,0.0,0.6529
0.2456,0.0,0.6532
0.2473,0.0,0.6509
0.2494,0.0,0.6587
