protected,f0,accuracy
0.0,-0.4989,0.7559
0.0,-0.5085,0.7504
0.0,-0.5025,0.7454
0.0,-0.5065,0.7506
0.0,-0.509,0.7463
0.0,-0.5029,0.7582
0.0,-0.4957,0.7541
0.0,-0.5048,0.7462
0.0,-0.4966,0.7542
0.0,-0.501,0.7465
0.0,-0.5006,0.7484
0.0,-0.5014,0.7475
0.0,-0.4994,0.7508
0.0,-0.4946,0.7501
0.0,-0.4859,0.7501
0.0,-0.4941,0.7568
0.0,-0.4971,0.7476
0.0,-0.5058,0.7472
0.0,-0.5045,0.7495
0.0,-0.5041,0.7467
0.0,-0.512,0.7475
0.0,-0.4908,0.7548
0.0,-0.4959,0.748
0.0,-0.5063,0.7393
0.0,-0.4983,0.747
0.0,-0.4977,0.7485
0.0,-0.4999,0.7517
0.0,-0.5097,0.7552
0.0,-0.4966,0.7613
0.0,-0.5025,0.7461
0.0,-0.4914,0.7482
0.0,-0.4953,0.7494
0.0,-0.49,0.7513
0.0,-0.495,0.7466
0.0,-0.5062,0.7566
0.0,-0.4933,0.7546
0.0,-0.4965,0.753
0.0,-0.5078,0.7526
0.0,-0.4936,0.7512
0.0,-0.4875,0.7541
0.0,-0.5077,0.7546
0.0,-0.5001,0.7519
0.0,-0.4957,0.7454
0.0,-0.5023,0.746
0.0,-0.4991,0.7484
0.0,-0.5007,0.7489
0.0,-0.4928,0.7434
0.0,-0.4941,0.7462
0.0,-0.5038,0.7467
0.0,-0.4953,0.7448
0.0,-0.4949,0.7513
0.0,-0.4937,0.7466
0.0,-0.4929,0.752
0.0,-0.4991,0.7576
0.0,-0.5003,0.7532
0.0,-0.499,0.7484
0.0,-0.4961,0.7499
0.0,-0.5043,0.7482
0.0,-0.5108,0.7522
0.0,-0.4971,0.7527
0.0,-0.5018,0.7528
0.0,-0.5026,0.742
0.0,-0.4992,0.7473
0.0,-0.5047,0.7463
0.0,-0.4975,0.749
0.0,-0.5021,0.7523
0.0,-0.5004,0.7485
0.0,-0.4985,0.7523
0.0,-0.494,0.7453
0.0,-0.4918,0.7521
0.0,-0.5034,0.7511
0.0,-0.4931,0.7492
0.0,-0.5036,0.7517
0.0,-0.5041,0.7498
0.0,-0.5005,0.7545
0.0,-0.5048,0.7545
0.0,-0.4971,0.7469
0.0,-0.4972,0.7443
0.0,-0.4973,0.7555
0.0,-0.503,0.7455
0.0,-0.4949,0.7575
0.0,-0.5012,0.752
0.0,-0.4981,0.7535
0.0,-0.501,0.7484
0.0,-0.4991,0.7494
0.0,-0.4995,0.7499
0.0,-0.5019,0.7472
0.0,-0.5025,0.748
0.0,-0.4992,0.7528
0.0,-0.5024,0.747
0.0,-0.5019,0.7602
0.0,-0.4888,0.7533
0.0,-0.4986,0.7546
0.0,-0.506,0.7536
0.0,-0.5034,0.7453
0.0,-0.4961,0.7417
0.0,-0.4994,0.754
0.0,-0.504,0.7575
0.0,-0.4989,0.7513
0.0,-0.4912,0.7482
