f0,f1,f2,f3,f4,f5,f6,protected
0.3379,0.3582,-0.4191,-0.4746,-0.4812,0.3604,-0.4008,-0.4077
-0.3161,0.3739,0.3166,0.3206,0.3764,0.4761,-0.2516,-0.2616
-0.2603,-0.2713,-0.2709,-0.2831,-0.2394,0.2261,0.0328,0.2171
-0.3393,-0.2285,0.1563,0.1318,0.1254,-0.2019,0.1281,-0.2139
0.1987,-0.2764,-0.3405,-0.3402,0.2569,-0.386,0.1512,-0.2804
-0.2394,0.3562,-0.2366,0.4561,0.3395,0.3774,0.3161,-0.267
0.2853,0.3811,-0.1574,0.2934,0.2685,0.3941,0.2856,0.289
0.3139,-0.4507,-0.4498,0.3184,0.289,0.3127,0.2815,-0.3411
-0.1758,-0.1937,-0.1742,-0.1611,0.0041,-0.1676,-0.2298,0.1154
0.1395,-0.2515,-0.3341,-0.249,0.2171,-0.2483,-0.3846,0.206
-0.276,0.1577,-0.2863,0.1062,-0.1954,-0.1922,0.1228,-0.1687
-0.2434,-0.2644,0.0532,-0.1749,-0.1824,0.139,-0.1836,0.0907
0.2236,-0.4006,0.1523,-0.2436,-0.2895,0.1691,-0.2598,-0.2498
-0.3191,0.1328,0.1219,-0.1965,0.1381,-0.2215,-0.2382,-0.2028
0.322,-0.2222,0.3917,0.3356,0.3506,-0.1831,-0.2532,0.2947
0.2037,-0.4136,-0.3655,-0.2855,0.2526,-0.3133,0.1965,-0.301
0.0037,-0.1129,0.0044,0.044,-0.0801,-0.0785,0.0652,-0.0958
0.2867,-0.1059,0.1715,-0.1036,0.2285,-0.1079,0.1728,-0.1244
0.3246,-0.4009,-0.3876,0.2808,-0.3344,0.3138,-0.4693,0.2548
0.3031,0.274,0.2723,-0.4135,-0.3502,-0.4339,0.2192,-0.3213
0.2165,0.2047,-0.2613,-0.3795,0.1539,0.1917,0.1437,-0.2794
0.4443,-0.3746,0.4198,-0.3653,0.3954,0.4781,-0.3204,0.4674
0.0494,-0.0619,-0.0996,-0.075,0.0178,0.0308,0.0148,-0.1042
0.2519,-0.34,-0.3421,0.1795,-0.2573,0.2531,-0.3721,0.1573
-0.4797,0.3532,-0.355,0.3208,-0.4544,-0.4058,-0.3628,0.3006
-0.4096,-0.3506,-0.3766,-0.4346,-0.4024,-0.3835,0.309,0.2476
0.3111,-0.1339,-0.209,-0.242,0.3578,0.3553,0.278,0.2971
0.323,-0.42,-0.4423,-0.4186,-0.4657,-0.4224,-0.4615,-0.4524
0.1622,-0.1271,0.266,-0.1258,0.1895,0.1794,-0.0296,0.1971
0.2302,0.2103,0.193,0.2337,-0.1532,0.3662,0.2353,-0.1612
-0.3166,-0.3599,-0.372,-0.3705,-0.3224,0.1595,-0.3609,-0.3273
-0.0919,-0.0629,-0.0828,0.1208,-0.0986,-0.0622,0.2166,-0.0343
0.0734,-0.2484,0.1752,-0.2237,0.0953,-0.2972,-0.2073,-0.2034
-0.1906,0.2963,-0.2155,-0.202,0.2983,-0.2137,0.2599,0.4258
0.5006,-0.2861,0.3166,0.3531,-0.2527,-0.2949,0.3027,-0.301
-0.1811,0.0399,-0.1601,0.0688,-0.2274,-0.1844,-0.2079,0.1193
-0.2377,0.2659,0.3335,0.3466,-0.1762,0.2952,0.3418,-0.216
-0.2447,0.0788,-0.279,0.1122,-0.1895,-0.2084,-0.2091,0.1206
0.1639,-0.2983,-0.2935,0.1676,0.1726,0.1732,-0.2897,0.1292
-0.153,0.2504,0.3193,0.2448,-0.2055,0.3815,-0.1682,-0.2014
0.4223,0.3477,-0.3168,0.4408,-0.2738,0.3668,0.3227,0.4079
-0.1261,-0.1088,0.1776,0.1707,0.2832,-0.0969,-0.0814,0.1539
-0.3234,-0.3719,-0.3665,-0.3851,-0.3163,0.2781,-0.3921,-0.3654
0.0923,-0.0585,-0.0478,-0.0334,-0.0299,0.1167,-0.0153,0.1315
0.3438,0.31,-0.2432,-0.2683,0.3496,0.3438,-0.1355,0.3537
0.3067,-0.1958,0.2143,-0.2089,0.2217,-0.0593,-0.186,0.294
0.2623,0.3204,-0.1075,0.2532,-0.2002,0.3588,0.2952,-0.2199
0.427,0.377,0.3723,0.4001,0.3386,-0.2515,0.331,0.4399
0.2283,0.151,-0.2934,-0.3188,0.1905,-0.3687,-0.2974,0.1786
0.267,0.2879,0.2714,-0.3833,-0.3146,0.301,-0.4773,-0.3403
-0.2173,-0.2562,0.1054,-0.1755,0.1306,0.1421,-0.2891,-0.1647
-0.3545,-0.3874,-0.3704,0.2326,0.2488,0.2423,0.2201,-0.3608
0.0585,0.0533,0.1088,-0.1544,0.0504,-0.1238,-0.1497,-0.2151
-0.2193,-0.1505,0.369,0.3335,0.3217,0.2985,-0.246,-0.2054
0.3265,0.2441,-0.1443,0.1894,-0.1133,0.2131,-0.146,0.2253
-0.2048,0.2895,0.2819,0.3459,-0.1964,0.3506,0.363,0.2891
0.4577,0.3684,-0.253,0.3275,0.3965,-0.2767,0.306,0.3191
0.3814,0.4657,-0.3228,0.3569,0.4368,0.3949,0.4248,-0.305
0.1075,0.1639,-0.3109,-0.2012,0.1448,-0.1984,0.104,0.0978
-0.1205,-0.1193,0.1994,-0.0942,0.2249,-0.0774,0.1352,0.2357
0.2668,-0.2212,0.4231,-0.1863,-0.2275,0.2778,0.3262,-0.2106
-0.3856,-0.3184,-0.2427,0.2099,0.1551,0.1633,0.2143,0.2187
-0.2117,0.3832,0.3153,0.317,-0.1393,0.3166,0.2914,0.3082
0.2979,-0.2265,-0.164,0.2993,0.3316,0.2541,-0.2065,0.4023
0.1525,0.0427,-0.2607,-0.219,-0.186,-0.2109,0.1698,-0.2489
0.3239,0.3077,0.3419,-0.2413,0.3926,-0.2137,-0.1673,0.2729
0.2414,-0.2058,-0.0035,0.2386,0.2554,-0.2093,0.2269,0.2529
0.0155,-0.1302,0.0784,0.0521,-0.1641,0.0768,-0.1673,-0.142
0.3087,-0.0736,-0.1931,-0.1386,0.2473,0.1928,-0.1382,0.2495
0.0816,-0.2535,-0.2957,-0.3279,0.1924,-0.2376,-0.271,0.1808
0.1833,0.1837,-0.0244,0.2044,-0.1355,0.171,0.1946,0.2721
-0.251,0.1805,-0.282,0.1162,-0.204,0.0631,0.1369,-0.2249
-0.3888,-0.2884,-0.2901,-0.3796,0.2543,-0.2696,0.2293,0.1667
0.2163,-0.1892,0.2818,0.2735,0.2168,-0.1687,0.2747,-0.0494
-0.3219,0.3736,0.4472,-0.2733,0.3567,0.429,0.3651,0.3758
0.1108,-0.1962,-0.2452,-0.1826,-0.1771,0.1384,0.12,0.0456
-0.3282,0.4411,-0.2793,0.3525,0.3544,-0.2771,-0.2782,0.4456
0.2341,-0.1455,0.2304,0.3488,0.321,-0.2235,0.321,-0.1569
0.2478,0.2881,0.2567,-0.2417,-0.2258,0.2874,0.2914,-0.0432
-0.2359,-0.3052,0.1464,0.2078,-0.2552,-0.3975,-0.2393,-0.2421
