        f0      f1      f2      f3      f4      f5      f6  protected        max
0   0.0000  0.1495  0.2529  0.1429  0.1656  0.1552  0.1286     0.1670         f2
1   0.4965  0.4962  0.4974  0.4917  0.4897  0.4685  0.4889     0.4867         f2
2   0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
3   0.0000  0.0952  0.0710  0.1046  0.0698  0.0140  0.0432     0.0300         f3
4   0.5009  0.4502  0.4829  0.4114  0.4376  0.4533  0.4716     0.4793         f0
5   0.0000  0.0824  0.1207  0.0872  0.0939  0.0000  0.1194     0.0940         f2
6   0.4930  0.4429  0.4544  0.4586  0.4414  0.4990  0.4936     0.4432         f5
7   0.0000  0.0841  0.0515  0.0588  0.1142  0.1334  0.0522     0.0783         f5
8   0.0000  0.0145  0.0167  0.0303  0.0537  0.0755  0.0552     0.0917  protected
9   0.4959  0.4266  0.3544  0.3780  0.3453  0.3984  0.3782     0.3078         f0
10  0.0000  0.0973  0.0942  0.0353  0.0399  0.0830  0.0984     0.0875         f6
11  0.5041  0.4908  0.4521  0.4513  0.4566  0.4296  0.4337     0.5118  protected
12  0.0000  0.1387  0.0576  0.1023  0.1200  0.0283  0.0699     0.0974         f1
13  0.0000  0.0656  0.0705  0.1525  0.1522  0.0742  0.0868     0.1262         f3
14  0.0000  0.1216  0.1733  0.0556  0.0912  0.1119  0.1624     0.1197         f2
15  0.0000  0.0402  0.0244  0.0599  0.0047  0.0562  0.0372     0.0189         f3
16  0.0000  0.0000  0.0854  0.0831  0.1302  0.0999  0.0905     0.1150         f4
17  0.0000  0.1010  0.0437  0.1033  0.1571  0.1231  0.1069     0.0721         f4
18  0.0000  0.0916  0.0279  0.0521  0.0469  0.0644  0.0446     0.0964  protected
19  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
20  0.5020  0.3482  0.3229  0.3291  0.3251  0.3890  0.3646     0.3445         f0
21  0.0000  0.0047  0.0000  0.0000  0.0000  0.0000  0.0047     0.0000         f1
22  0.4971  0.3780  0.4220  0.4069  0.4347  0.4450  0.3363     0.4150         f0
23  0.0000  0.0402  0.0443  0.0160  0.0131  0.0165  0.0113     0.0000         f2
24  0.0000  0.0073  0.0692  0.0505  0.0444  0.0977  0.0294     0.0470         f5
25  0.0000  0.0475  0.0275  0.0394  0.0000  0.0328  0.0143     0.0557  protected
26  0.4953  0.3247  0.3380  0.2661  0.2940  0.2942  0.2861     0.2734         f0
27  0.0000  0.1376  0.1192  0.1016  0.0238  0.0644  0.1057     0.0628         f1
28  0.0000  0.1205  0.1211  0.1199  0.1220  0.1237  0.2462     0.1218         f6
29  0.0000  0.0160  0.0355  0.0078  0.0581  0.0085  0.0107     0.0188         f4
..     ...     ...     ...     ...     ...     ...     ...        ...        ...
70  0.4884  0.2430  0.2981  0.3085  0.2955  0.3423  0.3105     0.2880         f0
71  0.0000  0.1082  0.0144  0.0532  0.0771  0.1166  0.1181     0.0772         f6
72  0.0000  0.0076  0.0000  0.0075  0.0204  0.0000  0.0053     0.0204         f4
73  0.0000  0.0593  0.0210  0.0000  0.0237  0.0293  0.0226     0.0080         f1
74  0.0000  0.1286  0.0387  0.0970  0.0852  0.0277  0.0626     0.1059         f1
75  0.0000  0.0437  0.0248  0.0389  0.0920  0.0884  0.0407     0.0593         f4
76  0.0000  0.0441  0.1132  0.0565  0.0958  0.0685  0.0395     0.0175         f2
77  0.5023  0.4731  0.4208  0.4755  0.4038  0.4018  0.3855     0.4225         f0
78  0.0000  0.1841  0.1825  0.1912  0.1586  0.1418  0.0906     0.1944  protected
79  0.4947  0.4953  0.5026  0.4973  0.4682  0.4724  0.4602     0.4678         f2
80  0.5003  0.4415  0.4779  0.4813  0.4424  0.3912  0.4426     0.4680         f0
81  0.0000  0.0373  0.0362  0.0525  0.0232  0.0074  0.0525     0.0234         f3
82  0.4961  0.3461  0.3703  0.4009  0.4699  0.3695  0.3667     0.4000         f0
83  0.4880  0.4216  0.4273  0.3967  0.3315  0.3343  0.4149     0.3885         f0
84  0.0000  0.0523  0.0520  0.0537  0.0701  0.1416  0.1182     0.0791         f5
85  0.0000  0.0039  0.0630  0.0166  0.0708  0.0289  0.0570     0.0528         f4
86  0.0000  0.0221  0.0142  0.0441  0.0087  0.0422  0.0086     0.0000         f3
87  0.0000  0.0562  0.0727  0.0876  0.1037  0.0279  0.0426     0.0217         f4
88  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
89  0.0000  0.1385  0.1529  0.0867  0.1096  0.1918  0.1120     0.0834         f5
90  0.0000  0.1147  0.0914  0.0721  0.0000  0.1018  0.0921     0.0970         f1
91  0.0000  0.1738  0.1070  0.2262  0.1751  0.1497  0.1136     0.1339         f3
92  0.0000  0.0593  0.0471  0.0352  0.0387  0.0085  0.0553     0.1066  protected
93  0.0000  0.1910  0.1804  0.1081  0.2126  0.1871  0.1384     0.1231         f4
94  0.5070  0.4514  0.5023  0.4298  0.4481  0.4491  0.4974     0.4338         f0
95  0.4971  0.3249  0.3715  0.2905  0.3144  0.3125  0.4036     0.3208         f0
96  0.0000  0.1717  0.0675  0.1136  0.1896  0.1057  0.1352     0.1471         f4
97  0.0000  0.1358  0.0320  0.1531  0.1209  0.1405  0.1556     0.1038         f6
98  0.4968  0.4214  0.4890  0.3857  0.4146  0.4305  0.4113     0.4209         f0
99  0.0000  0.0340  0.0601  0.0925  0.1019  0.0881  0.1555     0.1318         f6

[100 rows x 9 columns]


Num. FP: 11
