f0,f1,f2,f3,f4,f5,f6,protected
0.0,0.1495,-0.2529,0.1429,-0.1656,-0.1552,0.1286,-0.167
0.4965,0.4962,0.4974,0.4917,0.4897,0.4685,0.4889,0.4867
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.0952,-0.071,-0.1046,-0.0698,0.014,0.0432,0.03
0.5009,0.4502,0.4829,-0.4114,0.4376,0.4533,0.4716,0.4793
0.0,0.0824,-0.1207,0.0872,-0.0939,0.0,-0.1194,-0.094
0.493,-0.4429,0.4544,0.4586,-0.4414,0.499,0.4936,-0.4432
0.0,-0.0841,0.0515,0.0588,-0.1142,-0.1334,0.0522,-0.0783
0.0,0.0145,0.0167,0.0303,-0.0537,-0.0755,-0.0552,-0.0917
0.4959,0.4266,-0.3544,0.378,-0.3453,0.3984,0.3782,-0.3078
0.0,-0.0973,-0.0942,0.0353,0.0399,-0.083,-0.0984,-0.0875
0.5041,0.4908,0.4521,0.4513,0.4566,-0.4296,-0.4337,0.5118
0.0,-0.1387,0.0576,-0.1023,-0.12,0.0283,0.0699,-0.0974
0.0,0.0656,0.0705,-0.1525,-0.1522,0.0742,0.0868,-0.1262
0.0,-0.1216,-0.1733,0.0556,0.0912,-0.1119,-0.1624,-0.1197
0.0,-0.0402,0.0244,-0.0599,0.0047,-0.0562,-0.0372,0.0189
0.0,0.0,0.0854,0.0831,-0.1302,-0.0999,-0.0905,-0.115
0.0,-0.101,0.0437,-0.1033,-0.1571,-0.1231,-0.1069,0.0721
0.0,-0.0916,0.0279,-0.0521,0.0469,-0.0644,0.0446,-0.0964
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.502,0.3482,0.3229,-0.3291,0.3251,0.389,0.3646,0.3445
0.0,-0.0047,0.0,0.0,0.0,0.0,-0.0047,0.0
0.4971,-0.378,0.422,0.4069,0.4347,0.445,-0.3363,0.415
0.0,-0.0402,-0.0443,0.016,0.0131,0.0165,0.0113,0.0
0.0,0.0073,-0.0692,0.0505,0.0444,-0.0977,0.0294,0.047
0.0,-0.0475,0.0275,-0.0394,0.0,-0.0328,0.0143,-0.0557
0.4953,0.3247,0.338,-0.2661,0.294,-0.2942,-0.2861,-0.2734
0.0,-0.1376,-0.1192,-0.1016,0.0238,0.0644,-0.1057,0.0628
0.0,0.1205,0.1211,0.1199,0.122,0.1237,-0.2462,0.1218
