protected,f0
0.2487,0.5017
0.2496,0.4966
0.2458,0.4937
0.2601,0.5045
0.259,0.5091
0.2531,0.5023
0.2566,0.4958
0.2506,0.5053
0.2503,0.5023
0.2512,0.5031
0.2503,0.4974
0.25,0.4989
0.2541,0.5038
0.2476,0.4978
0.2481,0.4961
0.2529,0.5068
0.2533,0.4988
0.2518,0.5017
0.2491,0.4945
0.2569,0.5125
0.2515,0.5005
0.2466,0.494
0.2506,0.5
0.2423,0.4891
0.251,0.4994
0.2459,0.4949
0.2538,0.4991
0.2555,0.5033
0.2568,0.5049
0.2529,0.4981
0.2478,0.4933
0.2557,0.5067
0.2513,0.5034
0.2533,0.5067
0.2529,0.5035
0.2485,0.5045
0.2485,0.4952
0.2425,0.5004
0.2482,0.5034
0.25,0.4927
0.258,0.4996
0.2464,0.4969
0.2551,0.4985
0.2529,0.4968
0.257,0.5082
0.2499,0.5012
0.2505,0.4983
0.2445,0.5045
0.2539,0.5009
0.2477,0.4977
0.2557,0.4991
0.2491,0.5006
0.2489,0.5009
0.2545,0.5024
0.257,0.504
0.2498,0.494
0.2487,0.4943
0.2446,0.5025
0.2487,0.5076
0.2532,0.5012
0.2446,0.4978
0.2517,0.5041
0.2402,0.4963
0.2533,0.4983
0.2543,0.5117
0.2544,0.5018
0.2547,0.5091
0.2451,0.4961
0.2505,0.4937
0.2455,0.4964
0.2482,0.4991
0.2549,0.5013
0.2531,0.5008
0.2502,0.4988
0.2485,0.4992
0.2449,0.4927
0.2543,0.5068
0.2527,0.507
0.2499,0.4965
0.265,0.5099
0.2559,0.5073
0.2512,0.4998
0.2455,0.4946
0.2451,0.495
0.244,0.4951
0.2437,0.4971
0.2551,0.4973
0.2455,0.4931
0.2529,0.5015
0.2443,0.4935
0.2454,0.4939
0.2479,0.4919
0.2441,0.4918
0.2493,0.4968
0.2481,0.4954
0.2493,0.4977
0.2491,0.4965
0.2485,0.4998
0.2499,0.5006
0.2471,0.499
