protected,f0
0.246,0.4992
0.2392,0.4932
0.2568,0.5116
0.2469,0.4967
0.2465,0.4955
0.2526,0.4999
0.2437,0.4975
0.256,0.5047
0.2587,0.511
0.2536,0.5031
0.2538,0.5054
0.2538,0.4969
0.2512,0.5017
0.2518,0.4978
0.2515,0.5058
0.2495,0.4967
0.2483,0.5019
0.2528,0.5101
0.2504,0.5079
0.253,0.4997
0.2474,0.497
0.2469,0.5007
0.2483,0.5021
0.2536,0.4944
0.2479,0.5012
0.2517,0.5006
0.2534,0.4979
0.2542,0.5092
0.2498,0.4995
0.255,0.5064
0.2467,0.5026
0.2431,0.4908
0.2507,0.505
0.2537,0.5036
0.2542,0.5061
0.2515,0.5024
0.243,0.4955
0.2438,0.4952
0.2552,0.5023
0.2474,0.4976
0.2494,0.5034
0.2525,0.5011
0.257,0.5055
0.2553,0.5073
0.2408,0.4932
0.2459,0.5009
0.2551,0.503
0.2498,0.498
0.2482,0.4985
0.2461,0.4951
0.2507,0.4976
0.2533,0.5063
0.2538,0.5015
0.2417,0.4965
0.2408,0.4917
0.253,0.5045
0.2459,0.4981
0.251,0.5063
0.2534,0.5
0.2419,0.4895
0.253,0.5001
0.2535,0.5008
0.2501,0.5006
0.2474,0.4978
0.2505,0.5009
0.2495,0.5021
0.2484,0.5017
0.257,0.5035
0.2473,0.4982
0.2456,0.498
0.2482,0.5033
0.2513,0.5
0.2424,0.493
0.2504,0.5017
0.2518,0.4988
0.2535,0.4936
0.2498,0.5071
0.2554,0.5019
0.2566,0.5049
0.2475,0.494
0.2614,0.5049
0.2552,0.5085
0.2525,0.5083
0.2447,0.4993
0.2542,0.5037
0.2495,0.4991
0.2562,0.5023
0.25,0.5044
0.2513,0.4984
0.2551,0.5028
0.2456,0.4958
0.2496,0.5011
0.2437,0.4953
0.253,0.5017
0.259,0.502
0.257,0.5015
0.2484,0.4982
0.2439,0.492
0.2538,0.5011
0.2506,0.5039
