protected,f0
-0.2428,0.4963
0.2513,0.4954
0.2528,0.4975
0.2498,0.4967
0.2492,0.4931
0.2481,0.4962
0.2521,0.4975
-0.2489,0.5009
0.2477,0.5004
0.2489,0.4986
0.2532,0.4969
0.2461,0.4999
-0.2515,0.5086
0.2457,0.5005
0.2481,0.5004
-0.2515,0.4987
0.2454,0.4967
0.2482,0.4987
0.246,0.5003
0.2511,0.4899
0.2523,0.4984
-0.2509,0.4963
0.2491,0.4983
0.259,0.5129
0.253,0.5011
-0.2543,0.5085
0.2424,0.4957
0.2542,0.5011
0.2518,0.4987
-0.2519,0.4959
-0.2451,0.5
-0.2558,0.5093
0.2493,0.4937
-0.2521,0.4945
0.2533,0.505
-0.254,0.5009
-0.2443,0.4952
-0.2565,0.5096
0.2451,0.4964
0.2456,0.4975
-0.2526,0.5088
-0.252,0.5065
0.2477,0.4919
0.2559,0.5084
-0.2478,0.501
0.2542,0.4973
0.2477,0.4949
0.2572,0.51
0.2504,0.4998
0.2463,0.4977
0.2474,0.4998
-0.2484,0.4912
0.2502,0.5015
0.2429,0.4945
-0.2385,0.488
-0.2488,0.4989
0.2494,0.5029
0.2489,0.5011
-0.2439,0.4992
0.2529,0.5043
0.2421,0.4989
0.2575,0.5046
0.247,0.4881
-0.2434,0.5005
0.2479,0.4967
0.2555,0.5014
0.2421,0.4923
-0.2477,0.5
0.2486,0.4987
-0.255,0.4947
0.2524,0.5009
0.2415,0.4854
-0.2499,0.5015
0.2509,0.4971
-0.2541,0.4971
-0.2495,0.5011
0.2488,0.5019
0.2479,0.4987
-0.2386,0.4882
0.2485,0.4929
0.2513,0.5065
-0.2483,0.5082
0.2491,0.5031
0.2484,0.5074
0.256,0.5102
-0.2471,0.4987
0.2561,0.5058
-0.2501,0.5065
0.2515,0.5041
0.2482,0.5041
-0.249,0.5018
0.2485,0.4988
0.2437,0.4982
0.2493,0.5002
0.2503,0.4944
-0.2466,0.4881
-0.2517,0.5014
0.2588,0.5032
-0.2414,0.4962
0.248,0.4991
