        f0      f1      f2      f3      f4      f5    ...         f11     f12     f13     f14  protected        max
89  0.0000  0.0452  0.0288  0.0129  0.0340  0.0207    ...      0.0492  0.0548  0.0048  0.0247     0.0324        f12
90  0.0000  0.0526  0.0430  0.0369  0.0291  0.0685    ...      0.0376  0.0238  0.0307  0.0592     0.0134         f5
91  0.5044  0.4602  0.4727  0.4675  0.4678  0.4692    ...      0.4575  0.4834  0.4856  0.4490     0.4825         f0
92  0.0000  0.0164  0.0251  0.0186  0.0056  0.0065    ...      0.0079  0.0137  0.0032  0.0280     0.0085        f14
93  0.0000  0.0344  0.0470  0.0228  0.0299  0.0373    ...      0.0313  0.0582  0.0317  0.0691     0.0616        f14
94  0.0000  0.0350  0.0382  0.0617  0.0444  0.0632    ...      0.0695  0.0270  0.0461  0.0335     0.0810  protected
95  0.0000  0.0196  0.0235  0.0196  0.0071  0.0062    ...      0.0079  0.0012  0.0175  0.0092     0.0066         f2
96  0.0000  0.0000  0.0098  0.0084  0.0001  0.0017    ...      0.0098  0.0146  0.0248  0.0137     0.0156        f13
97  0.0000  0.0827  0.0430  0.0324  0.0661  0.0368    ...      0.0622  0.0576  0.0834  0.0680     0.0521        f13
98  0.0000  0.0058  0.0008  0.0042  0.0028  0.0068    ...      0.0027  0.0021  0.0053  0.0010     0.0073  protected
99  0.0000  0.0250  0.0184  0.0056  0.0192  0.0278    ...      0.0111  0.0135  0.0184  0.0059     0.0189         f8

[100 rows x 17 columns]


Num. FP: 7
