protected,f0
0.246,-0.496
0.2516,-0.5036
0.2532,-0.4988
0.2491,-0.4971
0.2481,-0.4981
0.2557,-0.5022
0.2434,-0.4995
0.2491,-0.4964
0.2606,-0.5048
0.2501,-0.4979
0.2515,-0.4959
0.2603,-0.5124
0.2581,-0.5048
0.2535,-0.4986
0.2566,-0.5025
0.2467,-0.5023
0.2505,-0.4994
0.2492,-0.5012
0.2498,-0.5015
0.2499,-0.5027
0.2485,-0.4932
0.2531,-0.5061
0.2515,-0.496
0.2471,-0.4937
0.2499,-0.4945
0.2484,-0.4964
0.2555,-0.5056
0.2443,-0.5006
0.2538,-0.5087
0.2488,-0.4964
0.2475,-0.4981
0.248,-0.4937
0.2519,-0.505
0.2526,-0.5029
0.2487,-0.4988
0.2485,-0.4983
0.2468,-0.4996
0.2508,-0.4985
0.2476,-0.4911
0.2451,-0.4903
0.2434,-0.5002
0.2544,-0.4997
0.2486,-0.4992
0.2536,-0.5041
0.2521,-0.5032
0.248,-0.5034
0.2522,-0.5025
0.2562,-0.5065
0.2518,-0.4971
0.25,-0.5036
0.2526,-0.4952
0.2554,-0.4971
0.2506,-0.5041
0.2488,-0.5042
0.2511,-0.5015
0.2455,-0.4977
0.2567,-0.5066
0.2426,-0.4924
0.2559,-0.5063
0.2563,-0.5012
-0.2501,-0.5038
0.2478,-0.4972
0.2457,-0.4979
0.2488,-0.5034
0.2456,-0.5006
0.2464,-0.4909
0.246,-0.4987
0.2611,-0.5012
0.248,-0.4944
0.2501,-0.5005
0.2488,-0.5004
0.2507,-0.4962
0.2458,-0.4951
0.2552,-0.4979
0.2535,-0.4954
0.2531,-0.4952
0.2555,-0.5067
0.2525,-0.5056
0.2484,-0.5073
0.2493,-0.4999
0.2441,-0.4932
0.2499,-0.501
0.2503,-0.5027
0.246,-0.5025
0.2512,-0.5025
0.2439,-0.4951
-0.2475,-0.4975
0.2527,-0.505
0.2458,-0.4917
0.2452,-0.4978
0.2463,-0.5003
0.2491,-0.5003
0.2454,-0.5019
0.2474,-0.5002
0.2481,-0.4947
0.2509,-0.5014
0.2482,-0.4931
0.2513,-0.502
0.2506,-0.4993
0.2558,-0.5086
